id,year,month,day,date,wsu_depth,tis_depth,tun_depth,ppa_depth,ppd_depth,mlk_depth,rpp_depth,rti_depth
1049,2017,8,10,2017-08-10,0,0,0,0,0,0,0,0
1050,2017,8,11,2017-08-11,0,0,0,0,0,0,0,0
1051,2017,8,12,2017-08-12,0,0,0,0,0,0,0,0
1052,2017,8,13,2017-08-13,0,0,0,0,0,0,0,0
1053,2017,8,14,2017-08-14,0,0,0,0,0,0,0,0
1054,2017,8,15,2017-08-15,0,0,0,0,0,0,0,0
1055,2017,8,16,2017-08-16,0,0,0,0,0,0,0,0
1056,2017,8,17,2017-08-17,0,0,0,0,0,0,0,0
1057,2017,8,18,2017-08-18,0,0,0,0,0,0,0,0
1058,2017,8,19,2017-08-19,0,0,0,0,0,0,0,0
1059,2017,8,20,2017-08-20,0,0,0,0,0,0,0,0
1060,2017,8,21,2017-08-21,0,0,0,0,0,0,0,0
1061,2017,8,22,2017-08-22,0,0,0,0,0,0,0,0
1062,2017,8,23,2017-08-23,0,0,0,0,0,0,0,0
1063,2017,8,24,2017-08-24,0,0,0,0,0,0,0,0
1064,2017,8,25,2017-08-25,0,0,0,0,0,0,0,0
1065,2017,8,26,2017-08-26,0,0,0,0,0,0,0,0
1066,2017,8,27,2017-08-27,0,0,0,0,0,0,0,0
1067,2017,8,28,2017-08-28,0,0,0,0,0,0,0,0
1068,2017,8,29,2017-08-29,0,0,0,0,0,0,0,0
1069,2017,8,30,2017-08-30,0,0,0,0,0,0,0,0
1070,2017,8,31,2017-08-31,0,0,0,0,0,0,0,0
1071,2017,9,1,2017-09-01,0,0,0,0,0,0,0,0
1072,2017,9,2,2017-09-02,0,0,0,0,0,0,0,0
1073,2017,9,3,2017-09-03,0,0,0,0,0,0,0,0
1074,2017,9,4,2017-09-04,0,0,0,0,0,0,0,0
1075,2017,9,5,2017-09-05,0,0,0,0,0,0,0,0
1076,2017,9,6,2017-09-06,0,0,0,0,0,0,0,0
1077,2017,9,7,2017-09-07,0,0,0,0,0,0,0,0
1078,2017,9,8,2017-09-08,0,0,0,0,0,0,0,0
1079,2017,9,9,2017-09-09,0,0,0,0,0,0,0,0
1080,2017,9,10,2017-09-10,0,0,0,0,0,0,0,0
1081,2017,9,11,2017-09-11,0,0,0,0,0,0,0,0
