site,sow.year,species,tag,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
TIS,2016,ws,1386,yes,4,seeded.scarified,1,1,7,13,13,0,0,0,0,0.65,0.35,0.80,13.00,0.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1387,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1388,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ll,1367,yes,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.8
TIS,2016,ll,1368,yes,4,seeded.scarified,1,1,16,4,3,0,0,0,0,0.20,0.80,0.25,3.00,0.00,0.00,0.00,0.00,20,0.8
TIS,2016,ll,1369,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1370,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1371,yes,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.8
TIS,2016,ll,1372,yes,4,seeded.scarified,1,1,11,9,9,6,6,2,2,0.45,0.55,0.56,9.00,6.00,6.00,2.00,2.00,20,0.8
TIS,2016,ll,1373,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1374,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1375,yes,4,seeded.scarified,1,1,19,1,1,1,1,1,1,0.05,0.95,0.06,1.00,1.00,1.00,1.00,1.00,20,0.8
TIS,2016,ll,1376,yes,2,seeded,1,0,16,4,4,2,0,0,0,0.20,0.80,0.25,4.00,2.00,0.00,0.00,0.00,20,0.8
TIS,2016,ll,1377,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1378,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1379,yes,4,seeded.scarified,1,1,12,8,8,4,2,2,2,0.40,0.60,0.50,8.00,4.00,2.00,2.00,2.00,20,0.8
TIS,2016,ll,1380,yes,2,seeded,1,0,16,4,4,2,0,0,0,0.20,0.80,0.25,4.00,2.00,0.00,0.00,0.00,20,0.8
TIS,2016,ll,1383,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1384,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1385,yes,2,seeded,1,0,19,1,1,1,1,1,1,0.05,0.95,0.06,1.00,1.00,1.00,1.00,1.00,20,0.8
TIS,2016,ll,1386,yes,4,seeded.scarified,1,1,11,9,0,0,0,0,0,0.45,0.55,0.56,0.00,0.00,0.00,0.00,0.00,20,0.8
TIS,2016,ll,1387,yes,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ll,1388,yes,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.8
TIS,2016,ws,1367,no,2,seeded,1,0,20,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1368,no,4,seeded.scarified,1,1,16,4,3,3,3,0,0,0.20,0.80,0.25,3.00,3.00,3.00,0.00,0.00,20,0.815
TIS,2016,ws,1369,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1370,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1371,no,2,seeded,1,0,17,3,3,3,3,2,2,0.15,0.85,0.18,3.00,3.00,3.00,2.00,2.00,20,0.815
TIS,2016,ws,1372,no,4,seeded.scarified,1,1,15,5,4,2,1,0,0,0.25,0.75,0.31,4.00,2.00,1.00,0.00,0.00,20,0.815
