year,site,elev,lat,lon,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU,late.tdd,total.tdd,late.fdd,total.fdd
2006,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,124,1.18,0.91,0.61,0,0.33,0.31,0.26,0.06,-166.63,-12.13,4.99,-6.75,6.02,-1,-0.6,150.69,177.95,915.95,953.24,-1690.03,-1698.71
2007,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,115.5,1.07,0.93,0.73,0,0.66,0.61,0.53,0.11,-284.62,-14.49,4.93,-8.88,5.71,-1.76,-0.84,138.84,183.21,862.21,907.38,-2187.98,-2197.28
2008,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,107.5,0.62,1.09,1.04,0,0.42,0.42,0.4,0.09,-206.9,-13.65,4.06,-6.32,5.11,-1.16,-0.69,122.06,224.87,761.18,809.67,-1596.58,-1608.72
2009,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,78.5,0.96,0.98,0.82,0,0.68,0.59,0.5,0.17,-259.14,-14.53,5.37,-9.24,5.19,-1.57,-0.76,125.54,194.42,803.01,838.43,-2287.31,-2307.33
2010,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,86,0.96,0.98,0.83,0,0.6,0.51,0.44,0.17,-235.56,-11.86,5.19,-8.28,5.1,-1.6,-0.79,95.17,186.17,803.73,825.10,-2065.72,-2097.98
2011,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,96,0.96,0.99,0.81,0,0.39,0.33,0.28,0.1,-280.38,-14.23,4.74,-9.12,5.02,-1.6,-0.77,149.01,229.28,753.06,790.63,-2271.00,-2274.01
2012,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,103.5,1,1.25,0.78,0,0.3,0.38,0.26,0.08,-138.38,-13.07,4.75,-4.75,5.04,-0.72,-0.42,170.87,218.64,768.75,803.74,-1174.57,-1177.95
2013,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,92.5,0.85,1.15,0.61,0,1.36,1.62,0.75,0.2,-215.67,-15.48,5.92,-7.75,5.89,-1.24,-0.65,139.47,250.89,872.64,951.55,-1900.50,-1903.42
2014,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,107.5,0.97,1.2,0.72,0,0.48,0.59,0.14,0.15,-216.23,-13.65,5.18,-8.52,5.31,-1.49,-0.68,186.05,277.7,774.71,804.34,-2107.70,-2114.86
1992,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,62,1.81,1.42,1.06,0,0.84,0.95,0.86,0.31,-471.5,-8,4.12,-6.24,7.73,-2.25,-1.13,208.92,232.99,1229.25,1236.01,-1640.44,-1680.72
1993,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,65,0.41,1.25,0.64,0,0.42,0.39,0.35,0.3,-485.1,-14.24,6.46,-7.39,9.13,-2.76,-1.13,145.06,226.27,1376.33,1441.20,-2005.14,-2037.31
1994,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,62,1.26,1.28,1.19,0,1.16,1.02,0.98,0.21,-298.65,-13.52,7.57,-7.91,9.05,-2.66,-1.05,163.77,234.93,1369.17,1421.75,-2112.56,-2141.95
1995,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,56,1.47,1.02,1.27,0,0.47,0.4,0.42,0.14,-344.95,-13.59,7.8,-6.54,9.1,-2.14,-0.98,161.37,221.15,1258.26,1403.60,-1836.57,-1836.70
1996,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,52.5,0.64,0.53,0.66,0,1.05,0.93,0.96,0.32,-402.23,-16.81,5.28,-7.21,6.99,-2.36,-1.39,163.84,282.76,1073.92,1132.10,-1896.38,-1942.84
1997,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,51.5,1.07,0.86,0.9,0,0.37,0.53,0.31,0.2,-388.43,-15.45,7.33,-7.38,7.44,-2.54,-1.1,143.98,299.67,1043.30,1145.92,-1927.20,-1940.01
1998,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,56.5,1.12,0.87,0.95,0,0.45,0.35,0.38,0.17,-283.58,-12.38,7.34,-5.53,8.05,-1.73,-0.8,146.44,224.76,1219.57,1259.85,-1573.20,-1607.86
1999,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,50,1.22,1.02,1.19,0,0.4,0.35,0.37,0.16,-317.92,-14.82,6.53,-6.45,7.63,-2.1,-1.06,147.26,251.65,1131.08,1196.81,-1701.40,-1732.71
2000,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,58,0.5,0.84,0.44,0,0.3,0.2,0.24,0.15,-262.51,-12.73,5.55,-5.46,6.63,-1.38,-0.85,147.52,280.7,1005.52,1043.07,-1448.47,-1468.38
2001,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,63,1.17,0.94,1.15,0,1.45,1.08,1.22,0.24,-245.25,-12.45,6.43,-6.87,7.22,-1.49,-0.91,149.73,265.14,1049.23,1126.26,-1759.40,-1761.88
2002,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,54,0.95,0.9,0.9,0,0.55,0.5,0.5,0.16,-332.19,-15.22,5.85,-6.52,7.08,-1.78,-1.11,136.31,298.3,1047.18,1129.06,-1743.13,-1761.10
2003,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,60.5,1.5,1.43,1.24,0,0.65,0.62,0.62,0.19,-285.81,-12.18,5.89,-4.52,7.43,-1.51,-0.9,162.05,258.91,1127.87,1204.01,-1274.33,-1307.62
2004,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,50,1.02,1.05,1.01,0,0.7,0.66,0.64,0.14,-287.92,-13.24,6.35,-6.26,7.87,-1.85,-1.07,171.87,203.35,1234.01,1239.73,-1698.48,-1711.78
2005,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,53.5,1.41,1.14,1.05,0,0.33,0.32,0.32,0.14,-233.06,-12.32,6.84,-3.74,7.03,-1.28,-0.7,226.58,198.48,1001.22,1080.33,-1071.13,-1071.45
