Temperature,cru.annual,ec.annual,bp.annual,hf.annual,d2.annual,d6.annual,gf.annual,cru.cold,ec.cold,bp.cold,hf.cold,d2.cold,d6.cold,gf.cold,cru.warm,ec.warm,bp.warm,hf.warm,d2.warm,d6.warm,gf.warm,pre.warm,pre.cold,pre.annual,bp.cst.0,hf.cst.0,gf.cst.0,d2.cst.0,d6.cst.0,bp.wst.0,hf.wst.0,gf.wst.0,d2.wst.0,d6.wst.0,bp.cst.150,hf.cst.150,gf.cst.150,d2.cst.150,d6.cst.150,bp.wst.150,hf.wst.150,gf.wst.150,d2.wst.150,d6.wst.150
1990,-6.099161,,,,,,,-13.676632,,,,,,,9.53770475,,,,,,,228.13961,255.0324,493.22536,,,,,,,,,,,,,,,,,,,,
1991,-5.69867225,,-4.473128071,-4.543503424,-6.799538751,,-4.507939983,-14.0029135,,,,,,-13.69784056,10.072704,,6.938756232,7.189964516,6.073134822,,4.742312183,208.72741,243.24055,445.76138,-7.039384094,-12.83054434,-9.351718587,-9.207789555,,7.523102111,7.84759543,4.4408043,5.916265111,,-0.969097395,-3.391940235,-1.778300647,-3.680137086,,-0.485556491,-1.046967473,-1.013146608,-1.265632667,
1992,-6.421604167,,-5.457962773,-5.683637514,-7.631586207,,-5.543044722,-13.49392563,,,,,,-13.17587299,8.54298875,,5.436076075,5.486915054,4.53663378,,3.523965054,196.84454,253.80931,457.37419,-5.61632765,-7.575976577,-11.35621966,-6.702720187,,7.637825538,8.883233871,2.827091935,6.564281396,,-0.956861146,-2.257627009,-1.981320245,-2.654207954,,-0.452916667,-0.872079839,-0.814085753,-1.219010555,
1993,-5.763993333,,-5.262509078,-5.512692256,-5.826627522,,-4.847623464,-13.35151838,,-13.48549858,-14.24067588,-12.05674595,,-12.94854962,9.27738775,,7.291759709,7.570677957,6.41141828,,5.393107258,221.16039,249.68215,451.61732,-8.105261268,-9.289364714,-11.52891802,-10.48001124,,8.385450372,9.944105376,4.052196237,6.48869086,,-1.3526412,-2.770986065,-1.937961071,-3.177263935,,-0.481488505,-0.740932527,-0.603370161,-1.587662366,
1994,-6.199817083,,-7.285611905,-7.223652906,-7.308646877,,-6.571028875,-14.45518313,,-13.35736369,-13.51622815,-12.34157907,,-13.03009061,9.83513725,,8.42844086,8.805763441,7.962090703,,6.905528226,218.01363,222.97789,446.78084,-8.491675159,-9.827358525,-12.4993851,-8.351661329,,9.390938441,9.934267021,5.07305,8.467697533,,-1.681880459,-2.724554126,-2.220693856,-2.665827286,,-0.471538441,-0.761895699,-0.673253495,-1.221047388,
1995,-4.9605405,,-6.775420234,-6.539399393,-6.440121205,,-6.085762751,-12.69390563,,-13.46533495,-13.58837674,-12.13732359,,-12.75333544,9.90343825,,8.01430704,8.608176263,7.365378988,,6.670637903,219.91085,233.47565,457.75528,-7.536279965,-8.564531106,-11.85501444,-9.175583767,,8.744729376,9.469368347,4.501370699,7.408508065,,-0.870788655,-2.144889598,-1.856012651,-3.505759932,,-0.545272938,-0.698074958,-0.573848118,-1.432956989,
1996,-5.981346833,,-9.325311374,-9.282399243,-8.919686813,,-8.361907426,-13.32321438,,-16.79392082,-16.80655438,-15.40656332,-15.21480325,-15.40943721,9.17055425,,6.044816398,6.960149731,5.911001613,6.132933871,4.647123925,228.26604,240.56459,468.75028,-8.520966174,-8.727324233,-12.98063276,-7.43738788,-3.115086986,7.035930645,7.876519086,3.653645699,6.263927419,5.88142043,-1.071355125,-2.273150681,-1.651155405,-2.8481832,-0.47044305,-1.158558602,-0.986879032,-0.722794624,-1.443905376,-0.184227978
1997,-5.561379917,,-6.120565716,-5.960851442,-6.237333922,-5.442902654,-5.663321333,-13.30436313,,-15.16830134,-15.45050263,-14.00437616,-14.16783298,-14.3488615,9.9759175,,8.094393157,8.718786419,7.407020904,7.720447242,6.58904328,224.92,260.95717,483.03772,-8.200591544,-8.956513891,-11.15527863,-8.202752498,-2.567557571,8.704517242,8.397147407,6.942076613,7.571861957,6.919521409,-0.983073434,-2.538910632,-2.485552875,-2.744706905,-0.610223315,-0.743804164,-0.744711536,-0.776005914,-1.166295975,-0.242217902
1998,-6.09848725,,-7.015389708,-6.692525237,-6.237333922,-6.19941202,-6.579134388,-13.85482038,,-12.3983558,-12.37539753,-11.7487963,-11.24406964,-12.65052252,9.99307175,8.37438172,6.861303495,7.774933871,6.866313584,7.117063441,6.58904328,247.61309,246.45796,488.99566,-8.1247026,-7.395212168,-9.093792634,-5.91520943,-2.065879219,7.168521237,8.185794892,6.941719838,6.63343629,5.70223172,-0.771092693,-1.731041102,-1.668064152,-1.812624743,-0.235478839,-0.886773925,-0.572414247,-0.612052022,-0.787256452,-0.163243447
1999,-6.150260333,-5.089536987,-6.237764337,-6.119253264,-6.545190154,-5.619827957,-6.411159265,-14.41066413,-12.86781469,-14.82087527,-14.81696713,-13.94794042,-13.52856774,-12.53224541,9.474588,7.794973118,7.084854839,7.832170161,5.451000269,6.881382796,5.776217953,214.17362,240.50624,460.13544,-6.462503346,-7.8546377,-9.757176251,-6.651407488,-2.793969059,7.643440054,8.683321237,6.00958166,5.367533602,5.976152419,-1.116593197,-2.065026772,-1.620471334,-2.085115241,-0.392678256,-0.798285753,-0.723794086,-0.672261763,-1.023736651,-0.293510312
2000,-5.573183667,-5.414975402,-6.415401809,-6.454136738,-7.102104396,-5.728617986,-6.341380052,-12.87766588,-11.22414288,-12.33980685,-12.72603938,-11.92543626,-11.26320413,-12.53868614,9.618441,6.524623656,6.308758274,6.804452151,5.645209207,5.815881183,4.550796249,245.57552,247.04218,474.03007,-4.963341522,-6.665342465,-9.262018672,-7.708231837,-2.353208443,7.03701694,7.546107527,4.895653119,6.044084445,5.507746505,-0.185976397,-1.308436416,-1.610539817,-2.67881051,-0.245997437,-0.463148076,-0.584906452,-0.675559676,-1.234796532,-0.227778226
2001,-5.645982,-5.031506849,-6.039934858,-6.273934549,-6.694131773,-5.581197638,-5.806864673,-13.785852,-10.75464574,-11.88948688,-12.45011526,-11.42486614,-10.82120425,-12.50165769,10.10903675,7.875430108,7.509583333,8.018221237,6.642382572,6.999573656,5.998329487,235.58784,228.37897,477.5394,-5.301886913,-8.20146072,-9.635517609,-7.764643206,-2.477248003,8.084905108,8.407813441,6.26621995,6.868692962,6.168365054,-0.848749467,-1.403667907,-1.630889187,-2.70807099,-0.373273208,-0.643836058,-0.611779032,-0.614158911,-1.145921735,-0.266670699
2002,-5.428660083,-5.043835616,-5.778355819,-6.165124917,-6.977371465,-5.551284399,-5.431422505,-13.14982363,-13.26061924,-14.49063846,-15.22484584,-13.29793093,-13.81732822,-14.51425961,9.8965565,7.153064516,7.105391825,7.23126828,6.350080848,6.495737105,5.139749382,233.34401,247.6306,460.15784,-6.745296187,-8.030066678,-9.892781942,-8.458426875,-3.855311455,7.710590894,7.832548925,5.493819251,6.385750213,6.359771516,-0.820559783,-1.677720529,-1.667434034,-2.76406796,-0.521601317,-0.34276985,-0.76795672,-0.639035928,-1.146567841,-0.324950507
2003,-4.896932333,-5.426035241,-6.398432207,-6.384414926,-6.643712707,-5.800420993,-6.023562628,-13.02700088,-10.82060429,-12.0581846,-12.18045901,-11.1774512,-10.98704426,-12.13594448,10.36563975,6.994569892,7.178962097,7.20152646,6.123229839,6.420057258,5.054676882,211.03492,210.00125,457.48132,-5.542426607,-5.922603566,-8.691264059,-5.832449265,-2.20186591,8.298673656,7.95486371,5.243146237,7.125035484,7.345710753,-0.813067215,-1.45639842,-1.368072874,-1.941385835,-0.250170234,-0.337694489,-0.657672849,-0.580554301,-0.912297043,-0.199348118
2004,-5.898152083,-5.433289868,-6.175319148,-6.253461396,-6.773672571,-5.373011825,-5.697723953,-13.0609465,-11.85994381,-13.23717644,-13.23723578,-11.86624574,-11.57620927,-12.78194867,9.690689,8.242658774,8.19760914,8.149190062,7.419404032,7.786429839,6.207707582,228.90932,246.66034,464.87228,-6.835519026,-7.615659744,-11.39901337,-9.798645649,-3.555945876,9.249329032,9.031146774,7.126897849,8.036595699,9.430627957,-0.918127846,-1.760253324,-1.676676122,-2.857738148,-0.543879313,-0.255209207,-0.716772581,-0.672398925,-1.284233602,-0.256435902
2005,-4.656321917,-4.532498319,-5.220229224,-5.295124832,-5.413759447,-4.597109831,-4.878965924,-12.95207038,-11.38040315,-12.09614303,-12.32217957,-11.25360682,-10.93914391,-11.93003111,10.300778,7.564032258,7.731562097,7.749190054,6.61366129,6.96389086,5.773313978,222.01543,247.03265,467.02002,-4.376112124,-5.011440169,-9.253635967,-4.606033333,-2.498113924,8.223776613,7.504143548,6.938330645,7.501662366,8.562564247,-0.604303961,-1.261222098,-1.339390191,-1.48342573,-0.171784508,-0.171870497,-0.522362366,-0.53435914,-0.743119355,-0.326084332
