day,lapse,HF,GF
329,0.298962459,-18.00479167,-16.92553719
330,0.325245014,-18.24545833,-17.07132383
331,0.644584802,-20.31083333,-17.9838822
332,0.84366654,-21.15929167,-18.11365546
333,0.893350264,-20.624125,-17.39913055
334,0.681399218,-20.99754167,-18.53769049
335,0.688173266,-21.54845833,-19.06415284
336,0.417443656,-20.1416375,-18.6346659
337,0.581042757,-21.90902933,-19.81146498
338,0.549466647,-21.47715783,-19.49358324
339,0.441778514,-20.03724858,-18.44242815
340,0.449459214,-20.23866625,-18.61611849
341,0.425915838,-18.79616967,-17.25861349
342,0.450675576,-17.30567633,-15.6787375
343,0.752044002,-21.118682,-18.40380315
344,0.79012738,-21.18006625,-18.32770641
345,0.549161573,-18.96132492,-16.97885164
346,0.190844608,-16.99541661,-16.30646757
347,0.088754367,-16.8683395,-16.54793624
348,0.564047386,-19.90095717,-17.8647461
349,0.543560594,-19.69736733,-17.73511359
350,0.604711583,-19.96527517,-17.78226635
351,0.386035092,-20.54716431,-19.15357763
352,0.6267513,-22.25897303,-19.99640084
353,0.602501424,-19.87251192,-17.69748178
354,0.361924988,-18.32645903,-17.01990982
355,0.537573563,-20.07093017,-18.13028961
356,0.753379246,-19.51226792,-16.79256884
357,0.564140657,-17.25681052,-15.22026275
358,0.472534755,-16.20152389,-14.49567343
359,0.474763857,-17.57195368,-15.85805616
360,0.676579128,-19.52522604,-17.08277539
361,0.717649138,-21.06525304,-18.47453965
362,0.91708939,-21.9793343,-18.6686416
363,0.981546793,-21.90013467,-18.35675074
364,0.723359485,-21.99931092,-19.38798318
365,0.663778561,-23.34220231,-20.9459617
