year,site,elev,lat,lon,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
2011,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,64.4,0.78,0.72,0.88,0,0.39,0.37,0.32,0.06,-190.59,-14.77,6.85,-5.64,7.81,-0.98,-0.5,149.01,229.28
2011,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,68.5,0.74,0.79,0.65,0,0.06,0.07,0.06,0.07,-202.24,-13.85,5.97,-3.83,5.05,-1.38,-1.19,149.01,229.28
2011,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,102.67,0.88,0.52,0.38,0.34,0.04,0.04,0.04,0.04,70.55,-14.25,5.94,-0.71,5.74,-0.39,-0.24,149.01,229.28
2011,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,96,0.96,0.99,0.81,0,0.39,0.33,0.28,0.1,-280.38,-14.23,4.74,-9.12,5.02,-1.6,-0.77,149.01,229.28
2011,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,51.5,1,1.06,1.03,0,0.34,0.26,0.25,0.06,-179.26,-15.1,6.91,-5.79,6.84,-1.15,-0.66,149.01,229.28
2012,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,65.2,0.6,0.55,0.89,0,0.35,0.32,0.55,0.09,-159.09,-12.97,7.1,-5.2,8.03,-0.97,-0.49,170.87,218.64
2012,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,70.75,1.02,0.91,0.78,0,0.49,0.4,0.7,0.28,-468.64,-12.23,5.59,-6.85,5.78,-2.8,-1.42,170.87,218.64
2012,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,99,0.43,0.48,0.66,0.56,0.11,0.12,0.06,0.08,222.52,-11.65,5.72,-1.63,6.19,-0.54,-0.24,170.87,218.64
2012,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,103.5,1,1.25,0.78,0,0.3,0.38,0.26,0.08,-138.38,-13.07,4.75,-4.75,5.04,-0.72,-0.42,170.87,218.64
2012,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,57,1.01,1.09,1.06,0,0.39,0.36,0.34,0.14,-254.8,-13.23,7.11,-6,6.93,-1.5,-0.71,170.87,218.64
2013,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,64,1.2,0.88,0.64,0,1.18,0.96,0.82,0.19,-213.73,-16.14,7.76,-6.19,8.63,-1.18,-0.52,139.47,250.89
2013,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,73,1.07,0.93,0.74,0,1.9,1.78,1.56,0.34,-348.24,-14.47,5.74,-8.85,6.06,-1.76,-0.92,139.47,250.89
2013,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,81.33,1.07,0.93,0.73,0.07,0.66,0.61,0.53,0.13,-289.54,-14.47,5.77,-8.85,5.96,-0.45,-0.23,139.47,250.89
2013,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,92.5,0.85,1.15,0.61,0,1.36,1.62,0.75,0.2,-215.67,-15.48,5.92,-7.75,5.89,-1.24,-0.65,139.47,250.89
2013,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,52,0.96,1.06,1.05,0,0.9,0.58,0.59,0.46,-526.37,-16.6,7.87,-10.5,7.43,-4.42,-0.98,139.47,250.89
2014,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,69.2,1.13,0.85,0.65,0,0.78,0.73,0.65,0.18,-213.66,-13.91,7.17,-6.08,7.97,-1.18,-0.44,186.05,277.7
2014,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,78.25,0.92,0.8,0.62,0,0.41,0.43,0.4,0.42,-588.91,-13.36,6.12,-9.47,5.95,-4.39,-2.19,186.05,277.7
2014,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,96.67,1.07,1.18,0.73,0.51,0.27,0.29,0.19,0.25,-62.82,-13.09,6.77,-2.08,7.48,-1.64,-0.14,186.05,277.7
2014,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,107.5,0.97,1.2,0.72,0,0.48,0.59,0.14,0.15,-216.23,-13.65,5.18,-8.52,5.31,-1.49,-0.68,186.05,277.7
2014,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,67,1.03,0.65,0.56,0,0.86,0.73,0.72,0.18,-216.71,-14.25,7.35,-5.41,7.63,-1.82,-0.95,186.05,277.7
