site,zone,year,tree,aspect,height,viability,gmin
BLK,Forest,2013,2,W,S,100,1.50E-05
BLK,Forest,2013,3,W,A,72,1.60E-05
BLK,Forest,2013,3,W,C,64,1.50E-05
BLK,Forest,2013,3,W,S,98,2.30E-05
BLK,Forest,2013,4,W,A,93,7.10E-06
BLK,Forest,2013,4,W,C,88,2.30E-05
BLK,Forest,2013,5,W,A,100,1.10E-05
BLK,Forest,2013,5,W,C,93,9.10E-07
BRR,Forest,2013,1,W,A,96,2.00E-05
BRR,Forest,2013,1,W,A,93,1.10E-05
BRR,Forest,2013,1,W,C,100,1.10E-05
BRR,Forest,2013,1,W,C,85,2.10E-05
BRR,Forest,2013,1,W,S,90,1.30E-05
BRR,Forest,2013,2,W,A,100,1.10E-05
BRR,Forest,2013,2,W,A,100,1.20E-05
BRR,Forest,2013,2,W,C,100,9.60E-06
BRR,Forest,2013,2,W,C,100,1.50E-05
BRR,Forest,2013,2,W,S,100,7.20E-06
BRR,Forest,2013,2,W,S,97,1.00E-05
BRR,Forest,2013,3,W,A,100,1.90E-05
BRR,Forest,2013,3,W,A,100,9.10E-06
BRR,Forest,2013,3,W,C,96,2.50E-05
BRR,Forest,2013,3,W,C,100,1.30E-05
BRR,Forest,2013,3,W,S,100,8.40E-06
BRR,Forest,2013,4,W,A,78,6.50E-06
BRR,Forest,2013,4,W,A,99,1.10E-05
BRR,Forest,2013,4,W,C,98,6.30E-06
BRR,Forest,2013,4,W,C,99,1.50E-05
BRR,Forest,2013,4,W,S,100,7.30E-06
BRR,Forest,2013,5,W,A,100,1.00E-05
BRR,Forest,2013,5,W,A,100,2.10E-05
BRR,Forest,2013,5,W,C,100,1.20E-05
BRR,Forest,2013,5,W,C,99,1.30E-05
BRR,Forest,2013,5,W,S,100,9.50E-06
BRR,Forest,2013,5,W,S,92,7.90E-06
BSW,Forest,2013,1,W,A,89,1.50E-05
BSW,Forest,2013,1,W,C,100,9.80E-06
BSW,Forest,2013,1,W,S,100,2.90E-05
BSW,Forest,2013,2,W,C,100,3.40E-05
BSW,Forest,2013,3,W,A,100,9.80E-06
BSW,Forest,2013,3,W,C,95,1.60E-05
BSW,Forest,2013,3,W,S,85,2.00E-05
BSW,Forest,2013,4,W,A,98,2.30E-05
BSW,Forest,2013,4,W,C,100,5.60E-06
BSW,Forest,2013,5,W,A,62,4.30E-05
BSW,Forest,2013,5,W,C,100,5.20E-06
BSW,Forest,2013,5,W,S,100,1.40E-05
MLK,Forest,2013,1,W,A,92,7.90E-06
MLK,Forest,2013,1,W,C,98,1.00E-05
MLK,Forest,2013,1,W,S,95,7.20E-06
MLK,Forest,2013,2,W,A,100,1.10E-05
MLK,Forest,2013,2,W,C,100,1.00E-05
MLK,Forest,2013,2,W,S,100,8.10E-06
MLK,Forest,2013,3,W,A,100,6.70E-06
