year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin,lat,lon,dist,cover
2014,BRF,Forest,3,W,A,BRF F3 WA,0.08,0.1741,123.7789,75.0000,10.6000,0.0072,0.0000274,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,W,C,BRF F3 WC,0.17,0.3805,123.9553,64.8649,15.8000,0.0157,0.0000224,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,W,C,BRF F3 WC,0.31,0.7041,128.8268,38.9831,22.7000,0.0192,0.0000350,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,W,S,BRF F3 WS,0.26,0.5733,124.4714,91.3043,27.6000,0.0208,0.0000180,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,3,W,S,BRF F3 WS,0.23,0.4917,115.4689,48.0000,20.7000,0.0172,0.0000602,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,L,A,BRF F4 LA,0.38,0.9050,136.1075,31.2500,26.8000,0.0265,0.0000484,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,L,A,BRF F4 LA,0.24,0.5406,125.3439,100.0000,21.9000,0.0162,0.0000121,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,L,C,BRF F4 LC,0.74,1.6201,119.3771,18.4211,40.2000,0.0375,0.0000328,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,L,C,BRF F4 LC,0.54,1.1966,123.2879,87.1795,36.9000,0.0275,0.0000206,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,L,S,BRF F4 LS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,L,S,BRF F4 LS,0.20,0.4740,136.6450,97.2222,21.9000,0.0155,0.0000347,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,W,A,BRF F4 WA,0.12,0.2483,105.5464,100.0000,15.6000,0.0100,0.0000652,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,W,A,BRF F4 WA,0.42,0.9419,126.0379,97.0149,33.2000,0.0269,0.0000264,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,W,C,BRF F4 WC,0.24,0.5132,117.9193,100.0000,22.1000,0.0164,0.0001627,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,W,C,BRF F4 WC,0.50,1.2400,148.6465,100.0000,32.8000,0.0301,0.0000161,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,W,S,BRF F4 WS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,4,W,S,BRF F4 WS,0.26,0.5796,124.2166,91.1765,31.9000,0.0232,0.0000188,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,L,A,BRF F5 LA,0.17,0.3651,113.6337,0.0000,16.3000,0.0119,0.0000279,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,L,C,BRF F5 LC,0.29,0.6069,110.8756,43.6364,20.5000,0.0172,0.0000248,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,L,C,BRF F5 LC,0.27,0.6465,138.5609,74.2857,23.9000,0.0119,0.0000434,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,L,S,BRF F5 LS,0.46,1.0690,132.0382,35.2113,31.1000,0.0246,0.0000609,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,L,S,BRF F5 LS,0.26,0.5843,127.6198,18.0000,25.3000,0.0224,0.0000292,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,W,A,BRF F5 WA,0.20,0.4280,118.9258,88.8889,17.5000,0.0156,0.0000225,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,W,A,BRF F5 WA,0.24,0.5155,117.0526,100.0000,16.5000,0.0138,0.0000753,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,W,C,BRF F5 WC,0.21,0.4815,124.5802,93.0233,14.6000,0.0121,0.0000554,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,W,C,BRF F5 WC,0.27,0.5811,117.2336,86.8421,17.3000,0.0142,0.0000336,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,W,S,BRF F5 WS,0.16,0.3152,92.1951,96.7742,NA,0.0107,0.0000164,58.12008,-92.96609,7.162149902,51
2014,BRF,Forest,5,W,S,BRF F5 WS,0.32,0.7434,134.1417,75.0000,33.6000,0.0272,0.0000260,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,L,A,BR F1 LA,0.21,0.4509,114.0009,16.9811,22.1000,0.0168,0.0000586,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,L,C,BR F1 LC,0.19,0.3939,106.8803,1.7857,21.4000,0.0113,0.0002040,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,L,S,BR F1 LS,0.07,0.1401,107.5556,85.1852,13.2000,0.0061,0.0000347,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,W,A,BR F1 WA,0.09,0.1830,109.6220,76.9231,10.5000,0.0088,0.0000388,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,W,C,BR F1 WC,0.18,0.3609,98.5149,73.1707,17.6000,0.0125,0.0000414,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,W,S,BR F1 WS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,L,A,BR F2 LA,0.11,0.2563,133.8504,78.1250,12.0000,0.0101,0.0000360,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,L,C,BR F2 LC,0.11,0.2170,101.1121,86.6667,8.6000,0.0047,0.0000182,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,L,S,BR F2 LS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,W,A,BR F2 WA,0.10,0.1938,103.7855,100.0000,8.5000,0.0057,0.0000202,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,W,C,BR F2 WC,0.19,0.3553,90.6116,80.0000,10.8000,0.0077,0.0000112,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,W,S,BR F2 WS,0.06,0.1307,117.1096,47.8261,10.1000,0.0054,0.0000442,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,L,A,BR F3 LA,0.12,0.2420,98.3607,100.0000,10.0000,0.0067,0.0000384,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,L,C,BR F3 LC,0.12,0.2652,113.0120,100.0000,9.8000,0.0074,0.0000226,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,L,S,BR F3 LS,0.10,0.2201,123.4518,94.1176,11.2000,0.0085,0.0000289,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,W,A,BR F3 WA,0.45,0.9900,118.2540,95.4545,30.1000,0.0323,0.0000165,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,W,C,BR F3 WC,0.11,0.2142,101.6949,100.0000,7.8000,0.0053,0.0000238,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,W,S,BR F3 WS,0.24,0.5414,122.8901,88.0952,18.7000,0.0186,0.0000284,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,L,A,BR F4 LA,0.13,0.2772,114.2195,100.0000,16.6000,0.0134,0.0000112,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,L,C,BR F4 LC,0.41,0.0938,-76.9646,94.7368,9.5000,0.0072,0.0000157,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,L,S,BR F4 LS,0.22,0.4679,117.2238,87.5000,14.8000,0.0134,0.0000472,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,W,A,BR F4 WA,0.22,0.4502,107.1790,90.4762,19.5000,0.0160,0.0000129,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,W,C,BR F4 WC,0.38,0.8018,112.1725,96.8254,27.3000,0.0231,0.0000132,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,W,S,BR F4 WS,0.10,0.2116,107.0450,89.6552,13.5000,0.0099,0.0000081,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,5,L,A,BR F5 LA,0.18,0.4005,118.4943,97.2973,19.8000,0.0149,0.0000183,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,5,L,C,BR F5 LC,0.46,0.9635,110.0044,100.0000,32.6000,0.0322,0.0000207,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,5,L,S,BR F5 LS,0.13,0.2916,124.3077,100.0000,16.9000,0.0123,0.0000176,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,5,W,A,BR F5 WA,0.07,0.1465,100.1366,100.0000,9.6000,0.0066,0.0000437,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,5,W,C,BR F5 WC,0.15,0.3274,121.5156,96.6667,11.9000,0.0109,0.0000061,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,5,W,S,BR F5 WS,0.13,0.3010,136.4493,100.0000,14.7000,0.0107,0.0000816,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,L,A,BR R1 LA,0.32,0.6756,112.1193,100.0000,25.0000,0.0199,0.0000171,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,L,C,BR R1 LC,0.21,0.4535,118.9763,92.6829,16.7000,0.0141,0.0000364,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,L,S,BR R1 LS,0.16,0.3344,107.9602,100.0000,24.9000,0.0120,0.0000196,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,W,A,BR R1 WA,0.31,0.6813,117.1820,89.0909,21.9000,0.0201,0.0000188,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,W,C,BR R1 WC,0.30,0.6708,126.3158,83.3333,22.1000,0.0181,0.0000208,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,1,W,S,BR R1 WS,0.24,0.5119,110.6584,98.0392,20.7000,0.0169,0.0000148,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,L,A,BR R2 LA,0.12,0.2578,123.7847,87.8788,12.2000,0.0098,0.0000316,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,L,C,BR R2 LC,0.07,0.1515,115.1989,45.4545,8.0000,0.0050,0.0000235,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,L,S,BR R2 LS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,W,A,BR R2 WA,0.11,0.2317,107.0599,31.4286,14.1000,0.0074,0.0000884,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,W,C,BR R2 WC,0.18,0.3981,119.3388,82.2222,16.8000,0.0130,0.0000491,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,2,W,S,BR R2 WS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,L,A,BR R3 LA,0.36,0.8024,122.0255,94.0299,27.9000,0.0253,0.0000221,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,L,C,BR R3 LC,0.34,0.7468,120.1651,95.0820,25.7000,0.0235,0.0000296,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,L,S,BR R3 LS,0.26,0.6577,156.0140,100.0000,26.4000,0.0191,0.0000256,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,W,A,BR R3 WA,0.35,0.7649,118.6678,100.0000,26.4000,0.0235,0.0000491,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,W,C,BR R3 WC,0.34,0.8022,133.1977,100.0000,26.8000,0.0231,0.0000278,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,3,W,S,BR R3 WS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,L,A,BR R4 LA,0.19,0.6152,223.4490,95.5556,19.5000,0.0135,0.0000184,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,L,C,BR R4 LC,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,L,S,BR R4 LS,0.60,1.5153,151.1686,100.0000,33.5000,0.0321,0.0000329,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,W,A,BR R4 WA,0.13,0.2893,117.8464,97.3684,15.3000,0.0104,0.0000366,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,W,C,BR R4 WC,0.09,0.1809,104.4068,92.3077,6.4000,0.0041,0.0000408,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,4,W,S,BR R4 WS,0.12,0.2394,104.9658,91.1765,14.5000,0.0103,0.0000253,58.12008,-92.96609,7.162149902,51
2015,BSF,Forest,5,L,A,BR R5 LA,0.38,0.8099,110.5277,88.8889,21.0000,0.0210,0.0000282,58.12008,-92.96609,7.162149902,51
