year,site,zone,lat,lon,elev,tree,aspect,height,code,water,viability,gmin,group,density,swe,htc,dist,cover
2014,BLK,Ecotone,58.620804,-93.810787,37,2,L,S,BLK E2 LS,114,87,2.10E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,W,A,BLK E2 WA,126,100,1.10E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,W,C,BLK E2 WC,145,94,1.60E-05,4,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,W,S,BLK E2 WS,88,21,3.60E-05,2,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,L,C,BLK E3 LC,104,90,2.60E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,L,S,BLK E3 LS,104,95,1.20E-05,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,W,A,BLK E3 WA,42,100,1.60E-05,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,W,C,BLK E3 WC,109,100,1.40E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,W,S,BLK E3 WS,104,95,1.20E-05,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,L,A,BLK E4 LA,120,100,1.60E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,L,C,BLK E4 LC,119,14,2.40E-05,2,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,L,S,BLK E4 LS,99,100,1.20E-05,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,W,C,BLK E4 WC,108,17,3.40E-05,2,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,W,S,BLK E4 WS,131,94,2.10E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,L,A,BLK E5 LA,102,82,1.50E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,L,C,BLK E5 LC,120,100,2.30E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,L,S,BLK E5 LS,118,86,1.10E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,W,A,BLK E5 WA,104,0,3.50E-05,2,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,W,C,BLK E5 WC,80,100,1.90E-05,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,W,S,BLK E5 WS,136,0,2.10E-05,2,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,1,L,A,BLK F1 LA,91,100,7.60E-06,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,1,L,C,BLK F1 LC,115,100,5.80E-06,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,1,W,A,BLK F1 WA,112,100,5.30E-06,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,1,W,C,BLK F1 WC,111,100,1.40E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,L,A,BLK F2 LA,115,94,1.70E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,L,C,BLK F2 LC,125,100,2.30E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,L,S,BLK F2 LS,111,100,6.60E-06,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,W,A,BLK F2 WA,118,100,1.30E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,W,C,BLK F2 WC,127,100,2.10E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,2,W,S,BLK F2 WS,110,100,9.30E-06,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,L,A,BLK F3 LA,121,100,9.60E-06,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,L,C,BLK F3 LC,120,100,1.10E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,L,S,BLK F3 LS,92,100,1.30E-05,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,W,A,BLK F3 WA,125,100,8.30E-06,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,3,W,C,BLK F3 WC,120,100,1.90E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,L,C,BLK F4 LC,104,84,2.80E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,W,A,BLK F4 WA,128,100,2.00E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,4,W,C,BLK F4 WC,123,100,3.20E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,L,A,BLK F5 LA,117,98,1.50E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,L,C,BLK F5 LC,83,75,3.00E-05,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,L,S,BLK F5 LS,106,100,1.10E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,W,A,BLK F5 WA,107,91,1.70E-05,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,W,C,BLK F5 WC,104,100,9.60E-06,1,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,5,W,S,BLK F5 WS,110,89,9.50E-06,3,243.905,165.889,0.267,16.966,2
2014,BLK,Ecotone,58.620804,-93.810787,37,1,L,S,BLK K1 LS,114,100,9.00E-06,3,243.905,165.889,0.267,16.966,2
2009,BLK,Forest,58.620559,-93.811126,38,1,L,A,2009 F1 EAA,112,100,2.70E-05,3,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,1,L,C,2009 F1 EAC,106,100,3.00E-05,3,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,1,L,S,2009 F1 EAS,80,100,2.80E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,1,W,A,2009 F1 NWA,124,100,4.70E-05,3,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,1,W,C,2009 F1 NWC,97,100,3.40E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,1,W,S,2009 F1 NWS,101,100,9.40E-06,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,1,L,A,2009 F1 SOA,90,100,1.80E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,1,L,C,2009 F1 SOC,130,100,3.50E-05,3,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,L,A,2009 F2 EAA,106,100,2.80E-05,3,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,L,C,2009 F2 EAC,104,100,4.30E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,W,A,2009 F2 NWA,99,100,1.70E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,W,C,2009 F2 NWC,104,100,1.50E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,W,S,2009 F2 NWS,89,100,9.40E-06,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,L,A,2009 F2 SOA,98,96,2.40E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,L,C,2009 F2 SOC,101,100,2.60E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,2,L,S,2009 F2 SOS,76,100,2.00E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,L,A,2009 F3 EAA,95,95,8.60E-06,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,L,C,2009 F3 EAC,92,100,2.00E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,L,S,2009 F3 EAS,91,100,2.70E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,W,A,2009 F3 NWA,97,96,2.70E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,W,C,2009 F3 NWC,97,100,5.00E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,W,S,2009 F3 NWS,95,95,1.50E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,L,A,2009 F3 SOA,92,95,3.10E-05,1,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,L,C,2009 F3 SOC,106,93,2.80E-05,3,234.181,153.843,0.269,16.99559961,45
2009,BLK,Forest,58.620559,-93.811126,38,3,L,S,2009 F3 SOS,79,100,1.60E-05,1,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,1,F,A,BLK F1 FA,126,93,1.10E-05,3,234.181,153.843,0.269,16.99559961,45
