site,pit,date,depth,density,swe,htc
AIR,Upland forest,2010,45,242.62,109.18,0.38
AIR,Upland forest,2010,67,279.95,187.56,0.34
AIR,Upland forest,2010,67,330.09,221.16,0.48
AIR,Upland forest,2010,69,239.37,165.17,0.24
AIR,Upland forest,2010,67,179.67,120.38,0.14
AIR,Upland forest,2010,67,183.85,123.18,0.15
AIR,Upland forest,2010,67,221.45,148.37,0.22
AIR,Upland forest,2010,71,205.03,145.57,0.17
AIR,Upland forest,2010,76,221.01,167.97,0.19
AIR,Upland forest,2010,72,276.06,198.76,0.31
AIR,Upland forest,2010,73,153.40,111.98,0.09
AIR,Upland forest,2010,79,180.72,142.77,0.12
AIR,Upland forest,2010,64,192.46,123.18,0.17
AIR,Upland forest,2010,60,205.29,123.18,0.21
AIR,Upland forest,2010,63,217.74,137.17,0.22
AIR,Upland forest,2010,85,197.61,167.97,0.14
AIR,Upland forest,2010,84,233.29,195.96,0.19
AIR,Upland forest,2010,87,231.68,201.56,0.18
AIR,Upland forest,2010,84,249.95,209.96,0.22
AIR,Upland forest,2010,76,232.06,176.37,0.21
AIR,Upland forest,2010,85,233.84,198.76,0.19
AIR,Upland forest,2010,82,228.74,187.56,0.19
AIR,Upland forest,2010,84,223.29,187.56,0.17
AIR,Upland forest,2010,61,188.16,114.78,0.17
AIR,Upland forest,2010,67,146.24,97.98,0.09
AIR,Upland forest,2010,66,178.15,117.58,0.14
AIR,Upland forest,2010,62,171.58,106.38,0.14
AIR,Upland forest,2010,63,137.75,86.78,0.09
AIR,Upland forest,2010,68,164.67,111.98,0.12
AIR,Upland forest,2010,69,166.35,114.78,0.12
AIR,Upland forest,2010,68,172.91,117.58,0.13
AIR,Upland forest,2010,67,188.02,125.98,0.16
AIR,Upland forest,2010,67,196.38,131.57,0.17
AIR,Upland forest,2010,69,210.97,145.57,0.19
AIR,Upland forest,2010,106,250.90,265.95,0.17
AIR,Upland forest,2010,109,251.69,274.35,0.17
AIR,Upland forest,2010,103,269.07,277.15,0.21
AIR,Upland forest,2010,115,260.47,299.54,0.17
AIR,Upland forest,2010,113,240.31,271.55,0.15
AIR,Upland forest,2010,112,249.70,279.67,0.16
AIR,Upland forest,2010,108,279.95,302.34,0.21
AIR,Upland forest,2010,114,260.30,296.74,0.17
AIR,Upland forest,2010,113,270.04,305.14,0.19
AIR,Upland forest,2010,118,260.97,307.94,0.17
AIR,Upland forest,2010,123,259.46,319.14,0.16
AIR,Upland forest,2010,62,180.61,111.98,0.15
AIR,Upland forest,2010,60,184.30,110.58,0.17
AIR,Upland forest,2010,63,155.53,97.98,0.11
AIR,Upland forest,2010,68,185.26,125.98,0.15
AIR,Upland forest,2010,67,192.20,128.78,0.16
AIR,Upland forest,2010,58,164.11,95.18,0.14
AIR,Upland forest,2010,63,177.74,111.98,0.15
AIR,Upland forest,2010,64,207.77,132.97,0.20
AIR,Upland forest,2010,68,185.26,125.98,0.15
AIR,Upland forest,2010,54,150.34,81.18,0.12
AIR,Upland forest,2010,64,161.84,103.58,0.12
AIR,Upland forest,2010,109,295.36,321.94,0.24
AIR,Upland forest,2010,99,282.77,279.95,0.24
AIR,Upland forest,2010,102,296.41,302.34,0.25
AIR,Upland forest,2010,96,250.79,240.75,0.19
AIR,Upland forest,2010,95,262.27,249.15,0.21
AIR,Upland forest,2010,90,255.06,229.56,0.21
AIR,Upland forest,2010,114,250.48,285.55,0.16
AIR,Upland forest,2010,103,241.90,249.15,0.17
AIR,Upland forest,2010,133,296.79,394.72,0.19
AIR,Upland forest,2010,130,284.25,369.53,0.18
AIR,Upland forest,2010,140,291.94,408.72,0.18
AIR,Upland forest,2010,65,172.27,111.98,0.13
AIR,Upland forest,2010,66,207.84,137.17,0.19
AIR,Upland forest,2010,68,172.91,117.58,0.13
AIR,Upland forest,2010,70,199.96,139.97,0.17
AIR,Upland forest,2010,67,208.92,139.97,0.19
AIR,Upland forest,2010,66,199.36,131.57,0.18
AIR,Upland forest,2010,71,197.15,139.97,0.16
AIR,Upland forest,2010,69,190.69,131.57,0.15
AIR,Upland forest,2010,71,208.97,148.37,0.18
AIR,Upland forest,2010,70,191.96,134.37,0.15
AIR,Upland forest,2010,69,194.75,134.37,0.16
AIR,Upland forest,2010,50,123.18,61.59,0.09
AIR,Upland forest,2010,48,131.22,62.99,0.11
AIR,Upland forest,2010,46,135.10,62.15,0.12
AIR,Upland forest,2010,45,183.52,82.58,0.22
AIR,Upland forest,2010,44,171.79,75.59,0.20
AIR,Upland forest,2010,42,133.31,55.99,0.12
AIR,Upland forest,2010,45,174.19,78.39,0.20
AIR,Upland forest,2010,44,149.52,65.79,0.15
AIR,Upland forest,2010,41,204.84,83.98,0.30
AIR,Upland forest,2010,47,172.73,81.18,0.19
AIR,Upland forest,2010,54,167.97,90.70,0.15
AIR,Upland forest,2010,66,246.01,162.37,0.27
AIR,Upland forest,2010,68,242.89,165.17,0.26
AIR,Upland forest,2010,68,222.31,151.17,0.21
AIR,Upland forest,2010,69,235.32,162.37,0.24
AIR,Upland forest,2010,64,236.20,151.17,0.26
AIR,Upland forest,2010,68,238.78,162.37,0.25
AIR,Upland forest,2010,68,234.66,159.57,0.24
AIR,Upland forest,2010,70,215.96,151.17,0.20
AIR,Upland forest,2010,72,221.62,159.57,0.20
AIR,Upland forest,2010,68,238.78,162.37,0.25
AIR,Upland forest,2010,71,228.69,162.37,0.22
AIR,Upland forest,2010,90,242.62,218.36,0.19
AIR,Upland forest,2010,93,255.87,237.95,0.21
AIR,Upland forest,2010,95,277.00,263.15,0.24
AIR,Upland forest,2010,95,259.32,246.35,0.21
AIR,Upland forest,2010,90,270.61,243.55,0.24
AIR,Upland forest,2010,89,270.51,240.75,0.24
AIR,Upland forest,2010,87,247.77,215.56,0.21
AIR,Upland forest,2010,83,252.96,209.96,0.23
AIR,Upland forest,2010,84,236.62,198.76,0.20
AIR,Upland forest,2010,78,244.06,190.36,0.22
AIR,Upland forest,2010,78,247.64,193.16,0.23
AIR,Upland forest,2010,32,174.97,55.99,0.28
AIR,Upland forest,2010,32,157.47,50.39,0.23
AIR,Upland forest,2010,30,139.97,41.99,0.19
AIR,Upland forest,2010,30,111.98,33.59,0.12
AIR,Upland forest,2010,30,111.98,33.59,0.12
AIR,Upland forest,2010,36,101.09,36.39,0.08
AIR,Upland forest,2010,40,153.97,61.59,0.17
AIR,Upland forest,2010,36,171.08,61.59,0.24
AIR,Upland forest,2010,33,169.66,55.99,0.26
AIR,Upland forest,2010,33,169.66,55.99,0.26
AIR,Upland forest,2010,33,169.66,55.99,0.26
AIR,Upland forest,2010,82,238.98,195.96,0.20
AIR,Upland forest,2010,80,174.97,139.97,0.11
AIR,Upland forest,2010,72,241.07,173.57,0.24
AIR,Upland forest,2010,70,167.97,117.58,0.12
AIR,Upland forest,2010,78,218.93,170.77,0.18
AIR,Upland forest,2010,90,248.84,223.96,0.20
AIR,Upland forest,2010,82,145.09,118.98,0.08
AIR,Upland forest,2010,62,214.48,132.97,0.22
AIR,Upland forest,2010,80,183.71,146.97,0.12
AIR,Upland forest,2010,78,262.00,204.36,0.26
AIR,Upland forest,2010,84,206.63,173.57,0.15
AIR,Upland forest,2010,67,150.42,100.78,0.10
AIR,Upland forest,2010,64,183.71,117.58,0.16
AIR,Upland forest,2010,53,190.15,100.78,0.20
AIR,Upland forest,2010,64,91.86,58.79,0.04
AIR,Upland forest,2010,55,173.06,95.18,0.16
AIR,Upland forest,2010,53,116.20,61.59,0.07
AIR,Upland forest,2010,49,79.98,39.19,0.04
AIR,Upland forest,2010,44,146.34,64.39,0.14
AIR,Upland forest,2010,60,139.97,83.98,0.10
AIR,Upland forest,2010,61,183.57,111.98,0.16
AIR,Upland forest,2010,56,189.96,106.38,0.19
AIR,Upland forest,2010,64,201.21,128.78,0.19
AIR,Upland forest,2010,48,198.30,95.18,0.24
AIR,Upland forest,2010,44,184.51,81.18,0.23
AIR,Upland forest,2010,51,208.59,106.38,0.25
AIR,Upland forest,2010,66,173.91,114.78,0.13
AIR,Upland forest,2010,36,186.63,67.19,0.28
AIR,Upland forest,2010,68,205.84,139.97,0.18
AIR,Upland forest,2010,64,192.46,123.18,0.17
AIR,Upland forest,2010,44,203.60,89.58,0.28
AIR,Upland forest,2010,40,195.96,78.39,0.28
AIR,Upland forest,2010,56,209.96,117.58,0.23
AIR,Upland forest,2010,48,174.97,83.98,0.19
AIR,Upland forest,2010,52,139.97,72.79,0.11
AIR,Upland forest,2010,60,205.29,123.18,0.21
AIR,Upland forest,2010,57,191.54,109.18,0.19
AIR,Upland forest,2010,61,204.22,124.58,0.20
AIR,Upland forest,2010,45,136.86,61.59,0.12
AIR,Upland forest,2010,65,129.21,83.98,0.08
AIR,Upland forest,2010,51,148.21,75.59,0.13
AIR,Upland forest,2010,50,137.17,68.59,0.11
AIR,Upland forest,2010,52,139.97,72.79,0.11
AIR,Upland forest,2010,65,146.43,95.18,0.10
AIR,Upland forest,2010,47,208.47,97.98,0.27
AIR,Upland forest,2010,57,191.54,109.18,0.19
AIR,Upland forest,2010,52,134.59,69.99,0.10
AIR,Upland forest,2010,51,225.06,114.78,0.29
AIR,Upland forest,2010,54,145.16,78.39,0.11
AIR,Upland forest,2010,50,145.57,72.79,0.12
AIR,Upland forest,2010,46,188.66,86.78,0.23
