location,site,type,year,sample.no,depth,density,swe,htc
AIRf,AIR,Forest,2009,7,69,198.8025656,137.1737702,0.168400047
AIRf,AIR,Forest,2009,7,76,193.3840746,146.9718967,0.144668891
AIRp,AIR,Forest,2009,7,134,305.016303,408.721846,0.204121447
AIRp,AIR,Forest,2009,7,96,239.120943,229.5561053,0.175110153
AIRp,AIR,Forest,2009,7,35,175.9663525,61.58822337,0.260098921
AIRp,AIR,Forest,2009,7,70,187.9640583,131.5748408,0.148388046
AIRp,AIR,Forest,2009,7,71,220.8028495,156.7700231,0.20188234
AIRp,AIR,Forest,2009,7,46,213.0027488,97.98126445,0.289974571
AIRf,AIR,Forest,2009,8,36,256.6175974,92.38233506,0.537796162
AIRf,AIR,Forest,2009,8,80,216.9585141,173.5668113,0.172985913
AIRf,AIR,Forest,2009,8,80,241.4538303,193.1630642,0.214252324
AIRf,AIR,Forest,2009,8,68,185.2586933,125.9759114,0.148386917
AIRf,AIR,Forest,2009,8,80,201.2115252,160.9692202,0.148786336
AIRp,AIR,Forest,2009,8,128,306.1914514,391.9250578,0.215339393
AIRp,AIR,Forest,2009,8,88,254.4967908,223.9571759,0.21638606
AIRp,AIR,Forest,2009,8,42,219.9579406,92.38233506,0.338670469
AIRp,AIR,Forest,2009,8,60,284.6122444,170.7673466,0.396920235
AIRp,AIR,Forest,2009,8,74,310.2109531,229.5561053,0.382322508
AIRp,AIR,Forest,2009,8,53,184.8703103,97.98126445,0.189585798
AIRf,AIR,Forest,2009,9,39,215.3434384,83.98394096,0.349579542
AIRf,AIR,Forest,2009,9,76,235.7443957,179.1657407,0.214989125
AIRf,AIR,Forest,2009,9,76,228.3773833,173.5668113,0.201762255
AIRf,AIR,Forest,2009,9,69,198.8025656,137.1737702,0.168400047
AIRf,AIR,Forest,2009,9,79,191.3558148,151.1710937,0.136271039
AIRp,AIR,Forest,2009,9,122,284.5357563,347.1336226,0.195101766
AIRp,AIR,Forest,2009,9,96,256.6175974,246.3528935,0.201673561
AIRp,AIR,Forest,2009,9,40,209.9598524,83.98394096,0.324011076
AIRp,AIR,Forest,2009,9,57,201.3650046,114.7780526,0.20914162
AIRp,AIR,Forest,2009,9,67,200.558665,134.3743055,0.17650434
AIRp,AIR,Forest,2009,9,55,229.0471117,125.9759114,0.280436333
AIRf,AIR,Forest,2009,10,31,189.641157,58.78875867,0.341075739
AIRf,AIR,Forest,2009,10,70,231.9556465,162.3689525,0.225974372
AIRf,AIR,Forest,2009,10,78,247.6449541,193.1630642,0.231159472
AIRf,AIR,Forest,2009,10,70,215.9587053,151.1710937,0.195880282
AIRf,AIR,Forest,2009,10,77,199.9617642,153.9705584,0.152668882
AIRp,AIR,Forest,2009,10,138,284.0036651,391.9250578,0.171836783
