site,group,date,year,zone,sample,weight,depth,density,swe,htc
T10,4,20130214,2013,Deflation,34,300,29,290,84,0.85
T10,4,20130214,2013,Deflation,4,320,30,299,90,0.87
T10,4,20130214,2013,Deflation,44,320,30,299,90,0.87
T10,3,20130214,2013,Deflation,13,300,28,300,84,0.94
T10,4,20130214,2013,Deflation,19,300,28,300,84,0.94
T10,3,20130214,2013,Deflation,8,350,31,316,98,0.95
T10,1,20130214,2013,Deflation,31,350,31,316,98,0.95
T10,4,20130214,2013,Deflation,29,340,30,317,95,0.99
T10,4,20130214,2013,Deflation,9,360,31,325,101,1.00
T10,4,20130214,2013,Deflation,39,280,26,301,78,1.03
T10,5,20130214,2013,Deflation,35,250,24,292,70,1.04
T10,5,20130214,2013,Deflation,25,350,30,327,98,1.05
T10,4,20130214,2013,Deflation,14,320,28,320,90,1.07
T10,1,20130214,2013,Deflation,21,490,34,403,137,1.41
T10,2,20130214,2013,Drift,27,1040,150,194,291,0.07
T10,1,20130214,2013,Drift,36,1300,148,246,364,0.12
T10,2,20130214,2013,Drift,12,2250,191,330,630,0.17
T10,2,20130214,2013,Drift,32,1500,143,294,420,0.18
T10,2,20130214,2013,Drift,2,2400,195,345,672,0.18
T10,1,20130214,2013,Drift,41,1800,156,323,504,0.20
T10,2,20130214,2013,Drift,17,2300,183,352,644,0.20
T10,2,20130214,2013,Drift,7,2710,204,372,759,0.20
T10,2,20130214,2013,Drift,22,2120,172,345,593,0.20
T10,1,20130214,2013,Drift,11,1800,154,327,504,0.20
T10,5,20130214,2013,Drift,25,950,99,269,266,0.21
T10,5,20130214,2013,Drift,15,1050,105,280,294,0.22
T10,2,20130214,2013,Drift,42,1450,130,312,406,0.22
T10,1,20130214,2013,Drift,6,1700,144,330,476,0.22
T10,2,20130214,2013,Drift,37,1600,138,325,448,0.22
T10,5,20130214,2013,Drift,5,1240,116,299,347,0.23
T10,5,20130214,2013,Drift,35,1750,145,338,490,0.23
T10,5,20130214,2013,Drift,30,1440,126,320,403,0.24
T10,5,20130214,2013,Drift,20,1020,100,286,286,0.24
T10,3,20130214,2013,Drift,23,2010,156,361,563,0.25
T10,1,20130214,2013,Drift,31,1750,142,345,490,0.25
T10,1,20130214,2013,Drift,26,2050,156,368,574,0.26
T10,1,20130214,2013,Drift,16,1900,148,359,532,0.26
T10,5,20130214,2013,Drift,10,1350,116,326,378,0.27
T10,3,20130214,2013,Drift,8,1500,124,339,420,0.27
T10,5,20130214,2013,Drift,45,1240,109,318,347,0.27
T10,1,20130214,2013,Drift,1,1480,122,340,414,0.28
T10,5,20130214,2013,Drift,40,1500,122,344,420,0.29
T10,4,20130214,2013,Drift,44,1620,128,354,454,0.29
T10,3,20130214,2013,Drift,13,1600,125,358,448,0.30
T10,3,20130214,2013,Drift,43,1700,130,366,476,0.30
T10,3,20130214,2013,Drift,38,1650,127,364,462,0.31
T10,4,20130214,2013,Drift,9,1300,108,337,364,0.31
T10,4,20130214,2013,Drift,34,1660,126,369,465,0.32
T10,3,20130214,2013,Drift,18,1650,125,370,462,0.32
T10,3,20130214,2013,Drift,28,1750,130,377,490,0.32
T10,1,20130214,2013,Drift,21,2000,142,394,560,0.32
T10,4,20130214,2013,Drift,39,1800,132,382,504,0.32
T10,4,20130214,2013,Drift,29,1800,131,385,504,0.33
T10,4,20130214,2013,Drift,24,1750,128,383,490,0.34
T10,4,20130214,2013,Drift,19,1500,112,375,420,0.37
T10,3,20130214,2013,Drift,33,1450,109,372,406,0.37
T10,4,20130214,2013,Drift,14,1260,97,364,353,0.40
T10,3,20130214,2013,Drift,3,1200,93,361,336,0.41
T10,4,20130214,2013,Drift,4,1160,90,361,325,0.43
T10,4,20130214,2013,Island,44,740,100,207,207,0.13
T10,2,20130214,2013,Island,7,690,88,220,193,0.16
T10,2,20130214,2013,Island,37,2050,180,319,574,0.17
T10,2,20130214,2013,Island,27,2200,181,340,616,0.19
T10,3,20130214,2013,Island,28,780,90,243,218,0.19
T10,2,20130214,2013,Island,17,1150,116,278,322,0.20
T10,2,20130214,2013,Island,42,1800,151,334,504,0.22
T10,2,20130214,2013,Island,32,2200,170,362,616,0.23
T10,2,20130214,2013,Island,22,1800,145,348,504,0.24
T10,2,20130214,2013,Island,12,1040,98,297,291,0.26
T10,5,20130214,2013,Island,30,720,76,265,202,0.27
T10,4,20130214,2013,Island,9,780,80,273,218,0.27
T10,3,20130214,2013,Island,23,1000,92,304,280,0.30
T10,5,20130214,2013,Island,35,1000,92,304,280,0.30
T10,5,20130214,2013,Island,45,1100,98,314,308,0.30
T10,4,20130214,2013,Island,24,820,80,287,230,0.30
T10,3,20130214,2013,Island,38,1000,89,315,280,0.33
T10,4,20130214,2013,Island,14,700,70,280,196,0.33
T10,5,20130214,2013,Island,25,750,73,288,210,0.33
T10,5,20130214,2013,Island,20,890,81,308,249,0.34
T10,2,20130214,2013,Island,2,790,73,303,221,0.37
T10,3,20130214,2013,Island,33,1050,88,334,294,0.37
T10,4,20130214,2013,Island,39,1020,86,332,286,0.38
T10,4,20130214,2013,Island,4,720,68,296,202,0.38
T10,4,20130214,2013,Island,19,840,75,314,235,0.39
T10,3,20130214,2013,Island,18,720,67,301,202,0.40
T10,4,20130214,2013,Island,29,790,71,311,221,0.40
T10,1,20130214,2013,Island,21,210,29,203,59,0.42
T10,4,20130214,2013,Island,34,680,63,302,190,0.43
T10,1,20130214,2013,Island,6,210,28,210,59,0.46
T10,1,20130214,2013,Island,1,180,25,202,50,0.48
T10,5,20130214,2013,Island,40,850,70,340,238,0.49
T10,1,20130214,2013,Island,26,230,28,230,64,0.56
T10,3,20130214,2013,Island,8,690,58,333,193,0.56
T10,3,20130214,2013,Island,3,560,50,314,157,0.58
T10,5,20130214,2013,Island,15,470,44,299,132,0.60
T10,3,20130214,2013,Island,13,650,54,337,182,0.62
T10,1,20130214,2013,Island,31,346,35,277,97,0.64
T10,1,20130214,2013,Island,41,200,24,233,56,0.67
T10,3,20130214,2013,Island,43,700,55,356,196,0.68
T10,1,20130214,2013,Island,11,200,23,243,56,0.76
T10,1,20130214,2013,Island,36,120,16,210,34,0.81
T10,1,20130214,2013,Island,16,180,20,252,50,0.93
T10,5,20130214,2013,Island,10,220,21,293,62,1.20
T10,5,20130214,2013,Island,5,230,21,307,64,1.32
T10,1,20130214,2013,Windward,6,540,79,191,151,0.14
T10,1,20130214,2013,Windward,1,525,69,213,147,0.19
T10,1,20130214,2013,Windward,11,480,63,213,134,0.21
T10,1,20130214,2013,Windward,41,1020,96,297,286,0.27
T10,2,20130214,2013,Windward,2,280,40,196,78,0.28
T10,2,20130214,2013,Windward,12,310,39,223,87,0.37
T10,2,20130214,2013,Windward,7,300,37,227,84,0.41
T10,2,20130214,2013,Windward,17,300,37,227,84,0.41
T10,1,20130214,2013,Windward,36,750,68,309,210,0.41
T10,2,20130214,2013,Windward,22,400,43,260,112,0.46
T10,2,20130214,2013,Windward,32,340,38,250,95,0.49
T10,4,20130214,2013,Windward,4,200,26,215,56,0.52
T10,4,20130214,2013,Windward,44,180,24,210,50,0.54
T10,2,20130214,2013,Windward,37,310,34,255,87,0.56
T10,2,20130214,2013,Windward,42,260,30,243,73,0.58
T10,2,20130214,2013,Windward,27,440,42,293,123,0.60
T10,4,20130214,2013,Windward,29,160,20,224,45,0.74
T10,4,20130214,2013,Windward,24,110,15,205,31,0.83
T10,5,20130214,2013,Windward,5,170,20,238,48,0.83
T10,5,20130214,2013,Windward,35,210,23,256,59,0.84
T10,3,20130214,2013,Windward,38,200,22,254,56,0.87
T10,1,20130214,2013,Windward,31,710,51,390,199,0.88
T10,3,20130214,2013,Windward,8,190,21,253,53,0.90
T10,3,20130214,2013,Windward,28,223,23,271,62,0.94
T10,4,20130214,2013,Windward,34,240,24,280,67,0.96
T10,5,20130214,2013,Windward,15,170,19,250,48,0.97
T10,1,20130214,2013,Windward,21,625,44,398,175,1.06
T10,4,20130214,2013,Windward,9,360,30,336,101,1.11
