site,site2,zone,group,date,year,time,sample,weight,depth,density,swe,htc
T10,T10w,Windward,2,20120223,2012,1420,23,135,10,377.9277343,37.79277343,4.199183548
T10,T10w,Windward,2,20120223,2012,1420,24,155,24,180.7987618,43.39170283,0.400430355
T10,T10w,Windward,3,20120223,2012,1420,1,100,11,254.4967908,27.99464699,1.731088478
T10,T10w,Windward,3,20120223,2012,1420,2,51,4,356.9317491,14.27726996,9.363920102
T10,T10w,Windward,3,20120223,2012,1420,3,42,4,293.9437934,11.75775173,6.350617094
T10,T10w,Windward,3,20120223,2012,1420,4,71,6,331.2699893,19.87619936,5.377250486
T10,T10w,Windward,3,20120223,2012,1420,5,146,12,340.6015383,40.8721846,2.842230494
T10,T10w,Windward,3,20120223,2012,1420,6,240,18,373.2619598,67.18715277,2.275633347
T10,T10w,Windward,3,20120223,2012,1420,7,149,14.5,287.6691311,41.71202401,1.67789914
T10,T10w,Windward,3,20120223,2012,1420,8,83,13,178.7350538,23.235557,0.72247604
T10,T10w,Windward,3,20120223,2012,1420,9,290,20,405.9223813,81.18447626,2.422162801
T10,T10w,Windward,3,20120223,2012,1420,10,280,28,279.9464699,78.38501156,0.822885273
T10,T10w,Windward,3,20120223,2012,1420,11,110,11,279.9464699,30.79411169,2.094617058
T10,T10w,Windward,3,20120223,2012,1420,12,360,26,387.618189,100.7807292,1.698956576
T11,T11c,TreeIsland,2,20120224,2012,1100,13,400,37,302.6448323,111.9785879,0.727800135
T11,T11c,TreeIsland,2,20120224,2012,1100,14,450,48,262.4498155,125.9759114,0.421889422
T11,T11c,TreeIsland,2,20120224,2012,1100,15,500,51,274.4573234,139.9732349,0.434236976
T11,T11c,TreeIsland,2,20120224,2012,1100,16,750,74,283.7295303,209.9598524,0.319834044
T11,T11c,TreeIsland,2,20120224,2012,1100,17,1150,105,306.6080384,321.9384403,0.26322377
T11,T11c,TreeIsland,2,20120224,2012,1100,18,1350,108,349.9330873,377.9277343,0.333344729
T11,T11c,TreeIsland,2,20120224,2012,1100,19,1050,87,337.8664292,293.9437934,0.38576086
T11,T11c,TreeIsland,2,20120224,2012,1100,20,1100,92,334.7186053,307.9411169,0.358029828
T11,T11c,TreeIsland,2,20120224,2012,1100,21,2000,116,482.6663274,559.8929397,0.590450296
T11,T11c,TreeIsland,2,20120224,2012,1100,22,1700,124,383.7975797,475.9089988,0.349244929
T11,T11c,TreeIsland,3,20120224,2012,900,1,260,56,129.9751467,72.78608217,0.088691079
T11,T11c,TreeIsland,3,20120224,2012,900,2,420,42,279.9464699,117.5775173,0.548590182
T11,T11c,TreeIsland,3,20120224,2012,900,3,950,80,332.436433,265.9491464,0.406138884
T11,T11c,TreeIsland,3,20120224,2012,900,4,640,68,263.4790305,179.1657407,0.300144598
T11,T11c,TreeIsland,3,20120224,2012,900,5,650,60,303.2753424,181.9652054,0.450682073
T11,T11c,TreeIsland,3,20120224,2012,900,6,950,70,379.927352,265.9491464,0.60624813
T11,T11c,TreeIsland,3,20120224,2012,900,7,1020,92,310.375434,285.5453993,0.307846473
T11,T11c,TreeIsland,3,20120224,2012,900,8,900,80,314.9397786,251.9518229,0.364512461
T11,T11c,TreeIsland,3,20120224,2012,900,9,1400,102,384.2402528,391.9250578,0.425552236
T11,T11c,TreeIsland,3,20120224,2012,900,10,940,84,313.2734306,263.1496817,0.343490848
T11,T11c,TreeIsland,3,20120224,2012,900,11,1350,102,370.5173866,377.9277343,0.395698444
T11,T11c,TreeIsland,3,20120224,2012,900,12,1250,90,388.8145415,349.9330873,0.493844042
T11,T11c,TreeIsland,4,20120224,2012,1030,9,510,46,310.375434,142.7726996,0.615692947
T11,T11c,TreeIsland,4,20120224,2012,1030,10,730,55,371.5653146,204.360923,0.73799764
T11,T11c,TreeIsland,4,20120224,2012,1030,11,820,77,298.1248121,229.5561053,0.339353905
T11,T11c,TreeIsland,4,20120224,2012,1030,12,880,81,304.1393747,246.3528935,0.335743496
T11,T11c,TreeIsland,4,20120224,2012,1030,13,1330,110,338.4807317,372.3288049,0.306212241
T11,T11c,TreeIsland,4,20120224,2012,1030,14,1710,134,357.245122,478.7084635,0.280011035
T11,T11c,TreeIsland,4,20120224,2012,1030,15,1840,137,375.9864997,515.1015046,0.303369046
T11,T11c,TreeIsland,4,20120224,2012,1030,16,2000,140,399.9235284,559.8929397,0.33587154
T11,T11c,TreeIsland,4,20120224,2012,1030,17,2020,138,409.7767168,565.4918691,0.357736127
T11,T11c,TreeIsland,4,20120224,2012,1030,18,2120,153,387.8996837,593.4865161,0.289131061
T11,T11d,Deflation,1,20120224,2012,1130,1,840,64,367.4297417,235.1550347,0.620177451
T11,T11d,Deflation,1,20120224,2012,1130,2,780,64,341.1847602,218.3582465,0.534744843
T11,T11d,Deflation,1,20120224,2012,1130,3,150,13,323.0151575,41.99197048,2.359661911
T11,T11d,Deflation,1,20120224,2012,1130,4,160,11,407.1948653,44.79143518,4.431586504
T11,T11d,Deflation,2,20120224,2012,1100,13,370,33,313.8793753,103.5801939,0.877725973
T11,T11d,Deflation,2,20120224,2012,1100,14,330,24,384.9263961,92.38233506,1.815062047
T11,T11d,Deflation,3,20120224,2012,900,1,750,68,308.7644888,209.9598524,0.41218588
T11,T11d,Deflation,3,20120224,2012,900,2,350,32,306.1914514,97.98126445,0.86135757
T11,T11d,Deflation,3,20120224,2012,900,3,400,32,349.9330873,111.9785879,1.125038459
T11,T11d,Deflation,3,20120224,2012,900,4,230,30,214.6256269,64.38768807,0.451428765
T11,T11d,Deflation,3,20120224,2012,900,5,100,14,199.9617642,27.99464699,0.83967885
T11,T11d,Deflation,3,20120224,2012,900,6,282,30,263.1496817,78.9449045,0.678627999
T11,T11d,Deflation,3,20120224,2012,900,7,55,4,384.9263961,15.39705584,10.89037228
T11,T11d,Deflation,3,20120224,2012,900,8,260,16,454.9130135,72.78608217,3.802629992
T11,T11d,Deflation,3,20120224,2012,900,9,110,12,256.6175974,30.79411169,1.613388486
T11,T11d,Deflation,3,20120224,2012,900,10,45,8,157.4698893,12.59759114,0.911281152
T11,T11d,Deflation,3,20120224,2012,900,11,110,8,384.9263961,30.79411169,5.445186142
T11,T11d,Deflation,3,20120224,2012,900,12,112,12,261.2833719,31.35400463,1.67259051
T11,T11d,Deflation,3,20120224,2012,900,13,30,8,104.9799262,8.398394096,0.405013845
T11,T11d,Deflation,3,20120224,2012,900,14,215,24,250.7853793,60.18849102,0.770443004
T11,T11d,Deflation,3,20120224,2012,900,15,150,14,299.9426463,41.99197048,1.889277412
T11,T11d,Deflation,3,20120224,2012,900,16,270,19,397.8186677,75.58554686,2.448860503
T11,T11d,Deflation,3,20120224,2012,900,17,160,16,279.9464699,44.79143518,1.440049228
T11,T11d,Deflation,3,20120224,2012,900,18,150,13,323.0151575,41.99197048,2.359661911
T11,T11d,Deflation,3,20120224,2012,900,19,235,20,328.9371021,65.78742042,1.590534372
T11,T11d,Deflation,3,20120224,2012,900,20,175,14,349.9330873,48.99063223,2.571516478
T11,T11d,Deflation,3,20120224,2012,900,21,275,18,427.6959956,76.98527921,2.987756456
T11,T11d,Deflation,3,20120224,2012,900,22,255,16,446.1646864,71.38634982,3.65778129
T11,T11d,Deflation,3,20120224,2012,900,23,218,23,265.3405671,61.02833043,0.899967446
T11,T11d,Deflation,3,20120224,2012,900,24,340,30,317.2726658,95.18179975,0.986487056
T11,T11d,Deflation,3,20120224,2012,900,25,230,24,268.2820336,64.38768807,0.881696807
T11,T11d,Deflation,3,20120224,2012,900,26,410,33,347.8122807,114.7780526,1.077762863
T11,T11d,Deflation,3,20120224,2012,900,27,510,44,324.4834083,142.7726996,0.703525177
T11,T11d,Deflation,3,20120224,2012,900,28,318,24,370.9290726,89.02297742,1.685457617
T11,T11d,Deflation,3,20120224,2012,900,29,310,18,482.1300314,86.78340566,3.796672998
T11,T11d,Deflation,3,20120224,2012,900,30,300,17,494.0231821,83.98394096,4.220783407
T11,T11d,Deflation,3,20120224,2012,900,31,280,23,340.8043981,78.38501156,1.484669804
T11,T11d,Deflation,3,20120224,2012,900,32,260,24,303.2753424,72.78608217,1.126705183
T11,T11l,Drift,1,20120224,2012,930,1,2420,166,408.1147332,677.4704571,0.294987619
T11,T11l,Drift,1,20120224,2012,930,2,2554,179,399.4320023,714.983284,0.262047496
T11,T11l,Drift,1,20120224,2012,930,3,2660,178,418.3469718,744.6576098,0.289068379
T11,T11l,Drift,1,20120224,2012,930,4,2645,195,379.722263,740.4584128,0.217392642
T11,T11l,Drift,1,20120224,2012,930,5,2800,195,401.9744183,783.8501156,0.243618099
T11,T11l,Drift,2,20120224,2012,1100,13,2450,161.6,424.423794,685.8688512,0.327721867
T11,T11l,Drift,2,20120224,2012,1100,14,2400,163.5,410.930598,671.8715277,0.303645279
T11,T11l,Drift,2,20120224,2012,1100,15,2520,180.5,390.8393928,705.4651041,0.2488094
T11,T11l,Drift,2,20120224,2012,1100,16,2520,195.12,361.5544814,705.4651041,0.196966805
T11,T11l,Drift,2,20120224,2012,1100,17,2560,223,321.3735259,716.6629629,0.136164113
T11,T11l,Drift,2,20120224,2012,1100,18,2600,179.5,405.493494,727.8608217,0.26930887
T11,T11l,Drift,2,20120224,2012,1100,19,3190,193,462.7094502,893.0292389,0.326142023
T11,T11l,Drift,3,20120224,2012,900,1,1900,134,396.9390244,531.8982927,0.345692636
T11,T11l,Drift,3,20120224,2012,900,2,1200,94,357.3784722,335.9357638,0.399462718
T11,T11l,Drift,3,20120224,2012,900,3,1700,124,383.7975797,475.9089988,0.349244929
T11,T11l,Drift,3,20120224,2012,900,4,1100,120,256.6175974,307.9411169,0.161338849
T11,T11l,Drift,3,20120224,2012,900,5,1300,104,349.9330873,363.9304108,0.34616568
T11,T11l,Drift,3,20120224,2012,900,6,1100,90,342.1567965,307.9411169,0.382432826
T11,T11l,Drift,3,20120224,2012,900,7,2050,140,409.9216166,573.8902632,0.352875037
T11,T11l,Drift,3,20120224,2012,900,8,1700,120,396.5908323,475.9089988,0.385346506
T11,T11l,Drift,3,20120224,2012,900,9,2770,188,412.47432,775.4517215,0.266062282
T11,T11l,Drift,3,20120224,2012,900,10,2940,203,405.439715,823.0426214,0.238069559
T11,T11l,Drift,4,20120224,2012,930,6,2480,169,410.8090209,694.2672453,0.293589534
T11,T11l,Drift,4,20120224,2012,930,7,2900,180,451.0248681,811.8447626,0.332258272
T11,T11l,Drift,4,20120224,2012,930,8,2730,169,452.2212206,764.2538627,0.355764411
T11,T11l,Drift,4,20120224,2012,930,9,2780,184,422.9626012,778.2511862,0.285846872
T11,T11l,Drift,4,20120224,2012,930,10,3030,196,432.7743896,848.2378037,0.280940508
T11,T11l,Drift,4,20120224,2012,930,11,2860,191,419.1868606,800.6469038,0.270476343
T11,T11l,Drift,4,20120224,2012,930,12,3030,179,473.875868,848.2378037,0.368827662
T11,T11l,Drift,4,20120224,2012,930,13,2850,187,426.6563846,797.8474391,0.286195118
T11,T11l,Drift,4,20120224,2012,930,14,2920,184,444.2628761,817.443692,0.315362141
T11,T11l,Drift,4,20120224,2012,930,15,3050,197,433.4196615,853.8367331,0.280348555
T11,T11l,Drift,4,20120224,2012,930,16,2700,186,406.3739079,755.8554686,0.261027352
T11,T11l,Drift,4,20120224,2012,930,17,2610,150,487.1068576,730.6602864,0.465055258
T11,T11l,Drift,4,20120224,2012,930,18,2830,180,440.138061,792.2485097,0.316411804
T11,T11w,Windward,1,20120224,2012,1400,1,278,25,311.3004745,77.82511862,1.139637909
T11,T11w,Windward,1,20120224,2012,1400,2,142,17,233.8376395,39.75239872,0.945643073
T11,T11w,Windward,1,20120224,2012,1400,3,166,16,290.4444625,46.471114,1.550077989
T11,T11w,Windward,1,20120224,2012,1400,4,203,20,284.1456669,56.82913338,1.186859772
T11,T11w,Windward,1,20120224,2012,1400,5,158,14,315.9395874,44.23154224,2.096174281
T11,T11w,Windward,1,20120224,2012,1400,6,280,22,356.2955071,78.38501156,1.696466708
T11,T11w,Windward,1,20120224,2012,1400,7,135,14,269.9483817,37.79277343,1.530314704
T11,T11w,Windward,2,20120224,2012,1100,13,45,3,419.9197048,12.59759114,17.28059073
T11,T11w,Windward,2,20120224,2012,1100,14,40,3,373.2619598,11.19785879,13.65380008
T11,T11w,Windward,2,20120224,2012,1100,15,60,3.5,479.9082341,16.79678819,19.3462007
T11,T11w,Windward,2,20120224,2012,1100,16,50,3.5,399.9235284,13.99732349,13.4348616
T11,T11w,Windward,2,20120224,2012,1100,17,60,10,167.9678819,16.79678819,0.829468355
T11,T11w,Windward,2,20120224,2012,1100,18,35,3.5,279.9464699,9.798126445,6.583082183
T11,T11w,Windward,2,20120224,2012,1100,19,45,3.5,359.9311755,12.59759114,10.88223789
T11,T11w,Windward,2,20120224,2012,1100,20,40,5,223.9571759,11.19785879,2.949220818
T11,T11w,Windward,2,20120224,2012,1100,21,40,4,279.9464699,11.19785879,5.76019691
T11,T11w,Windward,2,20120224,2012,1100,22,90,9,279.9464699,25.19518229,2.560087516
T11,T11w,Windward,3,20120224,2012,900,1,70,14,139.9732349,19.59625289,0.411442636
T11,T11w,Windward,3,20120224,2012,900,2,50,6,233.2887249,13.99732349,2.666757829
T11,T11w,Windward,3,20120224,2012,900,3,60,6,279.9464699,16.79678819,3.840131274
T11,T11w,Windward,3,20120224,2012,900,4,60,6,279.9464699,16.79678819,3.840131274
T11,T11w,Windward,3,20120224,2012,900,5,30,2,419.9197048,8.398394096,25.9208861
T11,T11w,Windward,3,20120224,2012,900,6,108,14,215.9587053,30.23421875,0.979401411
T11,T11w,Windward,3,20120224,2012,900,7,55,6,256.6175974,15.39705584,3.226776973
T11,T11w,Windward,3,20120224,2012,900,8,45,5,251.9518229,12.59759114,3.732607598
