site,year,depth,density,swe,htc
WSU,2015,55,183.24,100.78,0.18
WSU,2015,56,187.46,104.98,0.18
WSU,2015,58,193.07,111.98,0.19
WSU,2015,57,191.54,109.18,0.19
WSU,2015,42,166.63,69.99,0.19
WSU,2015,62,203.19,125.98,0.2
WSU,2015,52,188.43,97.98,0.2
WSU,2015,65,211.04,137.17,0.2
WSU,2015,64,214.33,137.17,0.21
WSU,2015,54,197,106.38,0.21
WSU,2015,50,190.36,95.18,0.21
WSU,2015,69,227.2,156.77,0.22
WSU,2015,72,233.29,167.97,0.22
WSU,2015,50,195.96,97.98,0.23
WSU,2015,56,209.96,117.58,0.23
WSU,2015,54,207.37,111.98,0.23
WSU,2015,67,233.99,156.77,0.24
WSU,2015,70,239.95,167.97,0.24
WSU,2015,65.5,235.07,153.97,0.25
WSU,2015,52,215.34,111.98,0.26
WSU,2015,52,215.34,111.98,0.26
WSU,2015,62,248.34,153.97,0.29
WSU,2015,62,248.34,153.97,0.29
WSU,2015,58,241.33,139.97,0.3
WSU,2015,58,250.99,145.57,0.32
WSU,2015,46,243.43,111.98,0.38
WSU,2015,68,321.12,218.36,0.45
WSU,2015,62,316.07,195.96,0.47
WSU,2015,54,321.42,173.57,0.56
