year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,RAM,Tundra,935,W,NWS,RAM T935 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Tundra,935,L,SOA,RAM T935 SOA,0.1127,0.2991,165.3948536,1,NA,0.008538597,8.76184E-05
2008,RAM,Tundra,935,L,SOS,RAM T935 SOS,0.0585,0.1246,112.991453,1,NA,0.006496409,3.72736E-05
2008,RAM,Tundra,936,L,EAA,RAM T936 EAA,0.1207,0.2811,132.8914664,1,NA,0.012243479,2.80111E-05
2008,RAM,Tundra,936,L,EAS,RAM T936 EAS,0.0712,0.1705,139.4662921,1,NA,0.010056908,3.09113E-05
2008,RAM,Tundra,936,W,NWA,RAM T936 NWA,0.1127,0.2913,158.4738243,1,NA,0.010201291,4.22956E-05
2008,RAM,Tundra,936,W,NWS,RAM T936 NWS,0.0536,0.1284,139.5522388,1,NA,0.006271286,5.04317E-05
2008,RAM,Tundra,936,L,SOA,RAM T936 SOA,0.1592,0.3562,123.7437186,1,NA,0.012661565,3.16333E-05
2008,RAM,Tundra,936,L,SOS,RAM T936 SOS,0.1473,0.3304,124.3041412,1,NA,0.015035005,1.40951E-05
2008,RID,Forest,913,L,EAA,RID F913 EAA,0.3265,0.7304,123.7059724,1,NA,0.026001715,1.94313E-05
2008,RID,Forest,913,L,EAC,RID F913 EAC,0.4625,0.9449,104.3027027,1,NA,0.029658357,1.97195E-05
2008,RID,Forest,913,L,EAS,RID F913 EAS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,913,W,NWA,RID F913 NWA,0.2061,0.475,130.4706453,0.923076923,NA,0.015427363,1.96631E-05
2008,RID,Forest,913,W,NWC,RID F913 NWC,0.449,1.0006,122.8507795,1,NA,0.033623739,3.6059E-05
2008,RID,Forest,913,W,NWS,RID F913 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,913,L,SOA,RID F913 SOA,0.284,0.6403,125.4577465,1,NA,0.019391137,2.63722E-05
2008,RID,Forest,913,L,SOC,RID F913 SOC,0.5096,1.1304,121.8210361,0.967741935,NA,0.034919001,3.3664E-05
2008,RID,Forest,913,L,SOS,RID F913 SOS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,914,L,EAA,RID F914 EAA,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,914,L,EAC,RID F914 EAC,0.2573,0.6234,142.2852701,1,NA,0.01638896,3.79084E-05
2008,RID,Forest,914,L,EAS,RID F914 EAS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,914,W,NWA,RID F914 NWA,0.2314,0.5194,124.4598099,1,NA,0.018743104,3.02851E-05
2008,RID,Forest,914,W,NWC,RID F914 NWC,0.19,0.4341,128.4736842,1,NA,0.014025167,2.96464E-05
