year,site,zone,year.zone,tree,aspect,height,island.side,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,RAM,Tundra,Tundra.2008,936,L,A,NA,RAM T936 EAA,0.1207,0.2811,132.8915,1,NA,0.012243,0.000028
2008,RAM,Tundra,Tundra.2008,936,L,S,NA,RAM T936 EAS,0.0712,0.1705,139.4663,1,NA,0.010057,0.000031
2008,RAM,Tundra,Tundra.2008,936,W,A,NA,RAM T936 NWA,0.1127,0.2913,158.4738,1,NA,0.010201,0.000042
2008,RAM,Tundra,Tundra.2008,936,W,S,NA,RAM T936 NWS,0.0536,0.1284,139.5522,1,NA,0.006271,0.00005
2008,RAM,Tundra,Tundra.2008,936,L,A,NA,RAM T936 SOA,0.1592,0.3562,123.7437,1,NA,0.012662,0.000032
2008,RAM,Tundra,Tundra.2008,936,L,S,NA,RAM T936 SOS,0.1473,0.3304,124.3041,1,NA,0.015035,0.000014
2008,RID,Forest,Forest.2008,913,L,A,NA,RID F913 EAA,0.3265,0.7304,123.706,1,NA,0.026002,0.000019
2008,RID,Forest,Forest.2008,913,L,C,NA,RID F913 EAC,0.4625,0.9449,104.3027,1,NA,0.029658,0.00002
2008,RID,Forest,Forest.2008,913,L,S,NA,RID F913 EAS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,913,W,A,NA,RID F913 NWA,0.2061,0.475,130.4706,0.9231,NA,0.015427,0.00002
2008,RID,Forest,Forest.2008,913,W,C,NA,RID F913 NWC,0.449,1.0006,122.8508,1,NA,0.033624,0.000036
2008,RID,Forest,Forest.2008,913,W,S,NA,RID F913 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,913,L,A,NA,RID F913 SOA,0.284,0.6403,125.4577,1,NA,0.019391,0.000026
2008,RID,Forest,Forest.2008,913,L,C,NA,RID F913 SOC,0.5096,1.1304,121.821,0.9677,NA,0.034919,0.000034
2008,RID,Forest,Forest.2008,913,L,S,NA,RID F913 SOS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,914,L,A,NA,RID F914 EAA,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,914,L,C,NA,RID F914 EAC,0.2573,0.6234,142.2853,1,NA,0.016389,0.000038
2008,RID,Forest,Forest.2008,914,L,S,NA,RID F914 EAS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,914,W,A,NA,RID F914 NWA,0.2314,0.5194,124.4598,1,NA,0.018743,0.00003
2008,RID,Forest,Forest.2008,914,W,C,NA,RID F914 NWC,0.19,0.4341,128.4737,1,NA,0.014025,0.00003
2008,RID,Forest,Forest.2008,914,W,S,NA,RID F914 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,914,L,A,NA,RID F914 SOA,0.2546,0.5936,133.15,1,NA,0.017362,0.000046
2008,RID,Forest,Forest.2008,914,L,C,NA,RID F914 SOC,0.2898,0.6707,131.4355,0.9844,NA,0.016826,0.000043
2008,RID,Forest,Forest.2008,914,L,S,NA,RID F914 SOS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,915,L,A,NA,RID F915 EAA,0.178,0.4115,131.1798,1,NA,0.0185,0.00002
2008,RID,Forest,Forest.2008,915,L,C,NA,RID F915 EAC,0.2462,0.5125,108.1641,0.961,NA,0.025197,0.000017
2008,RID,Forest,Forest.2008,915,L,S,NA,RID F915 EAS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,Forest.2008,915,W,A,NA,RID F915 NWA,0.1962,0.5149,162.4363,0.3284,NA,0.02033,0.00004
2008,RID,Forest,Forest.2008,915,W,C,NA,RID F915 NWC,0.2167,0.5286,143.9317,0.9836,NA,0.022904,0.000032
2008,RID,Forest,Forest.2008,915,W,S,NA,RID F915 NWS,0.3987,0.8865,122.3476,1,NA,0.040521,0.000029
2008,RID,Forest,Forest.2008,915,L,A,NA,RID F915 SOA,0.1717,0.3665,113.4537,0.9833,NA,0.019152,0.000021
2008,RID,Forest,Forest.2008,915,L,C,NA,RID F915 SOC,0.2634,0.596,126.2718,1,NA,0.024784,0.000037
2008,RID,Forest,Forest.2008,915,L,S,NA,RID F915 SOS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Ecotone,Ecotone.2008,910,L,A,NA,RID FT910 EAA,0.0801,0.1852,131.211,0.7105,NA,0.008066,0.00011
2008,RID,Ecotone,Ecotone.2008,910,L,C,NA,RID FT910 EAC,0.2851,0.6493,127.7447,1,NA,0.020834,0.000053
2008,RID,Ecotone,Ecotone.2008,910,L,S,NA,RID FT910 EAS,0.0901,0.2002,122.1976,1,NA,0.00607,0.000092
2008,RID,Ecotone,Ecotone.2008,910,W,A,NA,RID FT910 NWA,0.1283,0.296,130.7093,1,NA,0.010479,0.000043
2008,RID,Ecotone,Ecotone.2008,910,W,C,NA,RID FT910 NWC,0.2156,0.4966,130.334,1,NA,0.014183,0.000042
2008,RID,Ecotone,Ecotone.2008,910,W,S,NA,RID FT910 NWS,0.2461,0.5407,119.7074,0.9882,NA,0.019546,0.000039
