site,zone,zone.aspect,zone.height,tree,aspect,height,code,fresh,dry,length,sa_needle,sa_total,gmin,viability,water
ROK,Ecotone,Ecotone.W,Ecotone.S,3,W,S,ROK E3 WS,0.0904,0.0431,0.718,2.4113,40.993,3.5E-05,100,110
ROK,Ecotone,Ecotone.W,Ecotone.A,4,W,A,ROK E4 WA,0.6058,0.2791,1.025,3.4441,234.196,5.9E-06,91,117
ROK,Ecotone,Ecotone.W,Ecotone.C,4,W,C,ROK E4 WC,0.5257,0.2294,0.995,3.3433,193.909,9.3E-06,100,129
ROK,Ecotone,Ecotone.W,Ecotone.S,4,W,S,ROK E4 WS,0.3713,0.1797,1.075,3.6121,144.483,3.7E-08,98,107
ROK,Ecotone,Ecotone.W,Ecotone.A,5,W,A,ROK E5 WA,0.3836,0.1724,0.755,2.5368,124.305,6.7E-06,100,123
ROK,Ecotone,Ecotone.W,Ecotone.C,5,W,C,ROK E5 WC,0.7357,0.3232,0.930,3.1249,128.119,9.4E-06,95,128
ROK,Ecotone,Ecotone.W,Ecotone.S,5,W,S,ROK E5 WS,0.1622,0.0751,0.555,1.8648,70.864,1.5E-06,100,116
AIR,Forest,Forest.L,Forest.A,1,L,A,AIR F1 LA,0.5882,0.3077,0.740,2.4864,146.700,1.6E-05,86,91
AIR,Forest,Forest.L,Forest.C,1,L,C,AIR F1 LC,0.3428,0.1773,0.750,2.5200,95.762,1.7E-05,74,93
AIR,Forest,Forest.L,Forest.S,1,L,S,AIR F1 LS,0.5146,0.2702,0.745,2.5032,180.234,6.8E-06,79,90
AIR,Forest,Forest.L,Forest.A,2,L,A,AIR F2 LA,0.2575,0.1178,0.870,2.9233,81.851,1.6E-05,93,119
AIR,Forest,Forest.L,Forest.C,2,L,C,AIR F2 LC,0.3194,0.1444,0.945,3.1753,98.433,1.3E-06,100,121
AIR,Forest,Forest.L,Forest.S,2,L,S,AIR F2 LS,0.2186,0.0985,1.179,3.9613,75.265,2.9E-05,95,122
AIR,Forest,Forest.L,Forest.C,3,L,C,AIR F3 LC,0.1722,0.0763,0.920,3.0913,77.281,4.0E-06,100,126
AIR,Forest,Forest.L,Forest.A,4,L,A,AIR F4 LA,0.3904,0.1899,0.930,3.1249,137.494,1.6E-05,95,106
AIR,Forest,Forest.L,Forest.C,4,L,C,AIR F4 LC,0.4426,0.2221,1.015,3.4105,119.366,3.2E-06,91,99
AIR,Forest,Forest.L,Forest.S,4,L,S,AIR F4 LS,0.2102,0.0975,0.840,2.8224,87.496,1.6E-05,10,116
AIR,Forest,Forest.L,Forest.A,5,L,A,AIR F5 LA,0.1221,0.0640,0.859,2.8857,49.057,8.3E-06,100,91
AIR,Forest,Forest.L,Forest.C,5,L,C,AIR F5 LC,0.2873,0.1550,0.920,3.0913,114.376,2.2E-06,92,85
AIR,Forest,Forest.L,Forest.S,5,L,S,AIR F5 LS,0.1767,0.0904,0.825,2.7720,72.073,1.1E-05,96,95
AIR,Forest,Forest.L,Forest.A,6,L,A,AIR F6 LA,0.3646,0.1749,1.010,3.3937,122.172,7.8E-06,89,108
BLK,Forest,Forest.L,Forest.A,1,L,A,BLK F1 LA,0.3173,0.1643,0.725,2.4360,90.134,7.3E-07,97,93
BLK,Forest,Forest.L,Forest.C,1,L,C,BLK F1 LC,0.4376,0.2056,0.900,3.0241,69.553,2.4E-05,100,113
BLK,Forest,Forest.L,Forest.S,1,L,S,BLK F1 LS,0.5095,0.2285,0.845,2.8393,130.606,1.1E-05,98,123
BLK,Forest,Forest.L,Forest.A,2,L,A,BLK F2 LA,0.5706,0.2836,1.065,3.5785,153.874,9.9E-06,95,101
BLK,Forest,Forest.L,Forest.A,3,L,A,BLK F3 LA,0.2672,0.2182,1.028,3.4525,120.836,7.6E-06,34,22
BLK,Forest,Forest.L,Forest.C,3,L,C,BLK F3 LC,0.5423,0.2693,1.000,3.3601,171.363,1.9E-05,73,101
BLK,Forest,Forest.L,Forest.S,3,L,S,BLK F3 LS,0.7494,0.3684,1.020,3.4273,298.172,1.0E-05,71,103
BLK,Forest,Forest.L,Forest.A,4,L,A,BLK F4 LA,0.1916,0.0956,0.965,3.2425,77.819,4.7E-06,96,100
BLK,Forest,Forest.L,Forest.C,4,L,C,BLK F4 LC,0.2759,0.1309,0.985,3.3097,99.290,8.1E-06,100,111
BLK,Forest,Forest.L,Forest.A,5,L,A,BLK F5 LA,0.6871,0.3171,0.765,2.5704,190.213,1.6E-05,99,117
BLK,Forest,Forest.L,Forest.C,5,L,C,BLK F5 LC,0.6874,0.3034,0.745,2.5032,170.221,1.5E-05,93,127
BLK,Forest,Forest.L,Forest.S,5,L,S,BLK F5 LS,0.1422,0.0672,0.620,2.0832,56.247,2.0E-05,100,112
BSW,Forest,Forest.L,Forest.C,1,L,C,BSW F1 LC,0.3443,0.1647,0.965,3.2425,113.486,9.9E-06,94,109
BSW,Forest,Forest.L,Forest.C,2,L,C,BSW F2 LC,0.3787,0.2022,0.750,2.5200,166.323,9.9E-06,100,87
BSW,Forest,Forest.L,Forest.A,3,L,A,BSW F3 LA,0.3026,0.2144,0.625,2.1000,88.202,6.1E-07,31,41
BSW,Forest,Forest.L,Forest.C,3,L,C,BSW F3 LC,0.2032,0.0971,1.130,3.7969,117.703,5.2E-06,90,109
BSW,Forest,Forest.L,Forest.S,3,L,S,BSW F3 LS,0.2987,0.1404,0.890,2.9905,113.637,1.0E-05,89,113
BSW,Forest,Forest.L,Forest.A,4,L,A,BSW F4 LA,0.2868,0.1279,0.915,3.0745,119.904,1.1E-05,95,124
BSW,Forest,Forest.L,Forest.C,4,L,C,BSW F4 LC,0.1860,0.0901,0.815,2.7384,93.107,1.6E-05,82,106
BSW,Forest,Forest.L,Forest.S,4,L,S,BSW F4 LS,0.0739,0.0374,0.718,2.4131,24.131,4.5E-05,100,98
BSW,Forest,Forest.L,Forest.A,5,L,A,BSW F5 LA,0.1495,0.0697,0.815,2.7384,62.984,1.6E-05,96,114
BSW,Forest,Forest.L,Forest.C,5,L,C,BSW F5 LC,0.0870,0.0411,0.653,2.1952,32.929,3.0E-05,93,112
BSW,Forest,Forest.L,Forest.S,5,L,S,BSW F5 LS,0.2447,0.1188,0.640,2.1504,118.274,3.7E-06,100,106
ROK,Forest,Forest.L,Forest.A,1,L,A,ROK F1 LA,0.3025,0.1315,0.813,2.7300,101.012,1.8E-05,95,130
ROK,Forest,Forest.L,Forest.C,1,L,C,ROK F1 LC,0.2794,0.2054,0.740,2.4864,82.053,2.6E-05,91,36
ROK,Forest,Forest.L,Forest.S,1,L,S,ROK F1 LS,0.3535,0.1535,0.903,3.0329,124.349,2.0E-05,98,130
ROK,Forest,Forest.L,Forest.A,2,L,A,ROK F2 LA,0.3526,0.1686,0.800,2.6880,123.650,9.0E-06,98,109
ROK,Forest,Forest.L,Forest.C,2,L,C,ROK F2 LC,0.3710,0.1770,0.760,2.5536,117.468,1.4E-05,0,110
ROK,Forest,Forest.L,Forest.S,2,L,S,ROK F2 LS,0.1000,0.0590,0.561,1.8854,33.937,1.5E-05,94,69
WSU,Forest,Forest.L,Forest.A,1,L,A,WSU F1 LA,0.1997,0.1047,1.000,3.3601,67.201,2.4E-05,95,91
WSU,Forest,Forest.L,Forest.C,1,L,C,WSU F1 LC,0.2664,0.1244,1.045,3.5113,119.383,1.4E-05,97,114
WSU,Forest,Forest.L,Forest.S,1,L,S,WSU F1 LS,0.1189,0.0709,0.935,3.1417,163.366,1.6E-05,13,68
WSU,Forest,Forest.L,Forest.A,2,L,A,WSU F2 LA,0.2366,0.1166,1.180,3.9649,79.297,1.3E-05,95,103
WSU,Forest,Forest.L,Forest.C,2,L,C,WSU F2 LC,0.7690,0.3950,1.035,3.4777,368.632,5.5E-06,97,95
WSU,Forest,Forest.L,Forest.A,3,L,A,WSU F3 LA,0.1562,0.0882,0.970,3.2593,32.593,2.5E-05,60,77
WSU,Forest,Forest.L,Forest.C,3,L,C,WSU F3 LC,0.6675,0.3485,0.930,3.1249,278.112,6.3E-06,97,92
WSU,Forest,Forest.L,Forest.A,4,L,A,WSU F4 LA,0.4812,0.2682,0.805,2.7048,189.339,1.5E-05,93,79
WSU,Forest,Forest.L,Forest.C,4,L,C,WSU F4 LC,0.5129,0.3049,0.800,2.6880,182.787,2.9E-05,93,68
WSU,Forest,Forest.L,Forest.A,5,L,A,WSU F5 LA,0.2413,0.2003,0.820,2.7552,137.762,7.0E-06,94,20
WSU,Forest,Forest.L,Forest.C,5,L,C,WSU F5 LC,0.3982,0.2122,0.840,2.8224,183.459,1.2E-05,94,88
AIR,Forest,Forest.W,Forest.A,1,W,A,AIR F1 WA,0.2764,0.1249,0.710,2.3856,90.654,1.6E-05,97,121
AIR,Forest,Forest.W,Forest.C,1,W,C,AIR F1 WC,0.4328,0.2092,0.760,2.5536,117.468,3.0E-05,83,107
AIR,Forest,Forest.W,Forest.S,1,W,S,AIR F1 WS,0.2708,0.1393,0.790,2.6544,106.178,1.1E-06,95,94
AIR,Forest,Forest.W,Forest.A,2,W,A,AIR F2 WA,0.5633,0.2605,1.125,3.7801,173.883,9.9E-06,89,116
AIR,Forest,Forest.W,Forest.C,2,W,C,AIR F2 WC,0.4149,0.1937,1.140,3.8305,126.405,4.3E-06,94,114
AIR,Forest,Forest.W,Forest.A,3,W,A,AIR F3 WA,0.2092,0.0955,0.920,3.0913,71.099,2.7E-05,100,119
AIR,Forest,Forest.W,Forest.C,3,W,C,AIR F3 WC,0.5167,0.2127,0.870,2.9233,166.625,1.9E-05,98,143
AIR,Forest,Forest.W,Forest.A,4,W,A,AIR F4 WA,0.1745,0.1068,0.775,2.6040,59.893,4.8E-05,78,63
AIR,Forest,Forest.W,Forest.C,4,W,C,AIR F4 WC,0.3746,0.1964,0.800,2.6880,91.394,2.2E-05,97,91
AIR,Forest,Forest.W,Forest.S,4,W,S,AIR F4 WS,0.2610,0.1344,0.695,2.3352,121.433,5.8E-06,94,94
AIR,Forest,Forest.W,Forest.A,5,W,A,AIR F5 WA,0.5796,0.2848,1.025,3.4441,206.644,1.8E-06,93,104
AIR,Forest,Forest.W,Forest.C,5,W,C,AIR F5 WC,0.5476,0.2656,1.115,3.7465,157.352,4.4E-06,98,106
BLK,Forest,Forest.W,Forest.A,1,W,A,BLK F1 WA,0.6096,0.2916,1.120,3.7633,206.980,4.7E-06,100,109
