location,site,type,wind,plotting,year,sample.no,depth,density,swe,htc
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,15,48,285.78,137.17,0.5002
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,30,46,279.95,128.78,0.5009
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,2,43,273.44,117.58,0.5112
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,16,48,291.61,139.97,0.5209
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,8,50,307.94,153.97,0.5576
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,3,51,318.37,162.37,0.5843
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,other,E.2016,2016,32,34,263.48,89.58,0.6003
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,4,6,139.97,8.4,0.96
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,18,8,167.97,13.44,1.0368
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,2,6,186.63,11.2,1.7067
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,19,6,195.96,11.76,1.8817
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,26,5,179.17,8.96,1.8875
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,31,3,167.97,5.04,2.7649
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,14,6,242.62,14.56,2.8844
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,1,7,287.94,20.16,3.4823
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,3,5,251.95,12.6,3.7326
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,27,3,205.29,6.16,4.1303
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,30,2,167.97,3.36,4.1473
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,22,5,279.95,14,4.6082
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,13,3,223.96,6.72,4.9154
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,29,4,265.95,10.64,5.1986
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,17,2,195.96,3.92,5.645
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,20,3,242.62,7.28,5.7687
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,5,4,314.94,12.6,7.2902
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,21,4,321.94,12.88,7.6179
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,16,1,167.97,1.68,8.2947
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,11,2,251.95,5.04,9.3315
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,28,2,251.95,5.04,9.3315
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,scour,G.2016,2016,33,2,251.95,5.04,9.3315
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,13,66,135.73,89.58,0.0821
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,2,60,144.64,86.78,0.1025
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,5,63,155.53,97.98,0.1129
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,27,77,178.15,137.17,0.1212
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,20,88,194.05,170.77,0.1258
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,29,86,195.31,167.97,0.1304
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,11,74,181.59,134.37,0.131
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,1,56,159.97,89.58,0.1343
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,17,94,217.41,204.36,0.1478
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,33,74,196.72,145.57,0.1537
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,14,72,194.41,139.97,0.1543
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,10,62,180.61,111.98,0.1547
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,30,81,207.37,167.97,0.1561
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,18,80,206.46,165.17,0.1567
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,28,90,220.85,198.76,0.1593
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,19,83,212.49,176.37,0.1599
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,25,71,197.15,139.97,0.1609
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,26,81,210.82,170.77,0.1613
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,21,89,223.33,198.76,0.1648
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,23,83,219.24,181.97,0.1703
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,24,80,216.96,173.57,0.173
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,6,59,189.79,111.98,0.1795
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,15,88,232.23,204.36,0.1802
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,9,81,235.02,190.36,0.2005
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,16,90,248.84,223.96,0.2023
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,12,74,226.98,167.97,0.2047
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,22,74,226.98,167.97,0.2047
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,31,75,235.16,176.37,0.2168
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,7,58,212.37,123.18,0.2286
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,8,57,216.1,123.18,0.2409
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,32,52,226.11,117.58,0.2891
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,4,55,244.32,134.37,0.3191
Roberge Lake: Tree Island,RTI,island,deposition,A.2016,2016,3,52,290.71,151.17,0.4778
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,28,7,259.95,18.2,2.8381
