site,zone,year,zone.year,depth,density,swe,htc
LIN,cT,2008,2008.cT,13,172.2747507,22.39571759,0.671192721
LIN,cT,2008,2008.cT,13,96.90454726,12.59759114,0.212369572
LIN,cT,2008,2008.cT,11,254.4967908,27.99464699,1.731088478
LIN,cT,2008,2008.cT,13,129.206063,16.79678819,0.377545906
LIN,cT,2008,2008.cT,4,279.9464699,11.19785879,5.76019691
LIN,aF,2009,2009.aF,78,222.521553,173.5668113,0.186636633
LIN,aF,2009,2009.aF,115,267.7748842,307.9411169,0.183311272
LIN,aF,2009,2009.aF,83,249.5908286,207.1603877,0.220661458
LIN,aF,2009,2009.aF,90,230.1782086,207.1603877,0.173074558
LIN,aF,2009,2009.aF,89,251.6372763,223.9571759,0.209173795
LIN,aF,2009,2009.aF,87,238.1153882,207.1603877,0.191603308
LIN,aF,2009,2009.aF,85,230.5441517,195.9625289,0.183838566
LIN,aF,2009,2009.aF,92,237.3459201,218.3582465,0.180020948
LIN,aF,2009,2009.aF,103,260.9209816,268.7486111,0.194324748
LIN,aF,2009,2009.aF,107,272.0975034,291.1443287,0.203428907
LIN,aF,2009,2009.aF,101,260.5442393,263.1496817,0.197600895
LIN,aF,2009,2009.aF,96,244.9531611,235.1550347,0.183756282
LIN,aF,2009,2009.aF,85,230.5441517,195.9625289,0.183838566
LIN,aF,2009,2009.aF,88,241.7719512,212.7593171,0.195288419
LIN,aF,2009,2009.aF,96,268.2820336,257.5507523,0.220424202
LIN,aF,2009,2009.aF,78,251.2340114,195.9625289,0.2379083
LIN,aF,2009,2009.aF,83,242.8451305,201.5614583,0.208894996
LIN,aF,2009,2009.aF,92,261.6890914,240.7539641,0.218842034
LIN,aF,2009,2009.aF,83,229.3537343,190.3635995,0.186329179
LIN,aF,2009,2009.aF,82,256.0486005,209.9598524,0.235059761
LIN,aF,2009,2009.aF,79,233.8793293,184.7646701,0.203565379
LIN,aF,2009,2009.aF,78,236.8777822,184.7646701,0.211495623
LIN,aF,2009,2009.aF,79,233.8793293,184.7646701,0.203565379
LIN,aF,2009,2009.aF,79,216.1611983,170.7673466,0.173890444
LIN,aF,2009,2009.aF,77,236.3184486,181.9652054,0.213231744
LIN,aF,2009,2009.aF,76,246.7949142,187.5641348,0.235616744
LIN,aF,2009,2009.aF,78,233.2887249,181.9652054,0.205135218
LIN,aF,2009,2009.aF,76,228.3773833,173.5668113,0.201762255
LIN,aF,2009,2009.aF,75,238.8876543,179.1657407,0.223703861
LIN,aF,2009,2009.aF,78,233.2887249,181.9652054,0.205135218
LIN,aF,2009,2009.aF,78,222.521553,173.5668113,0.186636633
LIN,aF,2009,2009.aF,78,244.0558968,190.3635995,0.224507751
LIN,bE,2009,2009.bE,131,350.4673363,459.1122106,0.275658336
LIN,bE,2009,2009.bE,134,346.7993582,464.71114,0.26387552
LIN,bE,2009,2009.bE,142,331.2042742,470.3100694,0.227117632
LIN,bE,2009,2009.bE,148,336.6923759,498.3047164,0.225191596
LIN,bE,2009,2009.bE,140,341.9346168,478.7084635,0.245530493
LIN,bE,2009,2009.bE,136,401.3938355,545.8956162,0.348297068
LIN,bE,2009,2009.bE,84,326.6042148,274.3475405,0.373346096
LIN,bE,2009,2009.bE,88,340.3894577,299.5427228,0.387094375
LIN,bE,2009,2009.bE,81,307.5955039,249.1523582,0.343417386
LIN,bE,2009,2009.bE,98,322.7954193,316.339511,0.312590648
LIN,bE,2009,2009.bE,98,322.7954193,316.339511,0.312590648
LIN,bE,2009,2009.bE,81,317.9638917,257.5507523,0.366959317
LIN,bE,2009,2009.bE,68,300.5307691,204.360923,0.390495743
LIN,bE,2009,2009.bE,74,317.7770739,235.1550347,0.401199824
LIN,bE,2009,2009.bE,64,306.1914514,195.9625289,0.430678785
LIN,bE,2009,2009.bE,90,329.7147312,296.7432581,0.355125226
LIN,bE,2009,2009.bE,138,182.5737847,251.9518229,0.071014181
LIN,bE,2009,2009.bE,108,349.9330873,377.9277343,0.333344729
LIN,bE,2009,2009.bE,122,367.1429113,447.9143518,0.324831243
LIN,bE,2009,2009.bE,126,346.6003913,436.716493,0.280307606
LIN,bE,2009,2009.bE,114,368.3506182,419.9197048,0.349917196
LIN,bE,2009,2009.bE,126,315.4952279,397.5239872,0.232253557
LIN,bE,2009,2009.bE,129,329.8594064,425.5186342,0.247979264
LIN,bE,2009,2009.bE,121,347.0410783,419.9197048,0.292633289
LIN,bE,2009,2009.bE,122,344.1964793,419.9197048,0.28549621
LIN,bE,2009,2009.bE,102,329.3487881,335.9357638,0.312650623
LIN,bE,2009,2009.bE,100,321.9384403,321.9384403,0.304714417
LIN,bE,2009,2009.bE,111,307.6889128,341.5346932,0.250754102
LIN,bE,2009,2009.bE,104,309.5561926,321.9384403,0.270890007
LIN,bE,2009,2009.bE,118,296.5534638,349.9330873,0.219114605
LIN,bE,2009,2009.bE,124,343.1601889,425.5186342,0.279202589
LIN,bE,2009,2009.bE,104,323.0151575,335.9357638,0.294957739
LIN,bE,2009,2009.bE,108,336.9726026,363.9304108,0.309109789
LIN,cT,2009,2009.cT,20,314.9397786,62.98795572,1.458049843
LIN,cT,2009,2009.cT,24,256.6175974,61.58822337,0.806694243
LIN,cT,2009,2009.cT,26,274.5628839,71.38634982,0.852427865
LIN,cT,2009,2009.cT,28,229.9560288,64.38768807,0.55523764
LIN,cT,2009,2009.cT,26,312.2479856,81.18447626,1.102486482
LIN,cT,2009,2009.cT,26,279.9464699,72.78608217,0.88618414
LIN,cT,2009,2009.cT,24,303.2753424,72.78608217,1.126705183
LIN,cT,2009,2009.cT,24,338.2686511,81.18447626,1.401714584
LIN,cT,2009,2009.cT,24,244.9531611,58.78875867,0.735025127
LIN,cT,2009,2009.cT,24,279.9464699,67.18715277,0.960032818
LIN,cT,2009,2009.cT,23,292.1180555,67.18715277,1.090777816
LIN,cT,2009,2009.cT,24,285.778688,68.58688512,1.000450867
LIN,cT,2009,2009.cT,26,269.1792979,69.98661747,0.819327053
LIN,cT,2009,2009.cT,20,223.9571759,44.79143518,0.737305205
LIN,cT,2009,2009.cT,22,171.7853338,37.79277343,0.394363594
LIN,cT,2009,2009.cT,22,305.3961489,67.18715277,1.246383704
LIN,cT,2009,2009.cT,26,236.8777822,61.58822337,0.63448687
LIN,cT,2009,2009.cT,25,268.7486111,67.18715277,0.849375596
LIN,cT,2009,2009.cT,22,305.3961489,67.18715277,1.246383704
LIN,cT,2009,2009.cT,24,274.1142517,65.78742042,0.920448132
LIN,cT,2009,2009.cT,24,256.6175974,61.58822337,0.806694243
LIN,cT,2009,2009.cT,18,248.8413065,44.79143518,1.011392599
LIN,cT,2009,2009.cT,23,231.2601273,53.18982927,0.683629846
LIN,cT,2009,2009.cT,22,292.6713094,64.38768807,1.144682256
LIN,cT,2009,2009.cT,26,247.6449541,64.38768807,0.693478417
LIN,cT,2009,2009.cT,26,247.6449541,64.38768807,0.693478417
LIN,cT,2009,2009.cT,22,254.4967908,55.98929397,0.865544239
LIN,cT,2009,2009.cT,26,226.1106103,58.78875867,0.578117168
LIN,cT,2009,2009.cT,25,257.5507523,64.38768807,0.780068906
LIN,cT,2009,2009.cT,25,257.5507523,64.38768807,0.780068906
LIN,cT,2009,2009.cT,22,267.2216303,58.78875867,0.954262523
LIN,cT,2009,2009.cT,22,305.3961489,67.18715277,1.246383704
LIN,cT,2009,2009.cT,24,244.9531611,58.78875867,0.735025127
LIN,aF,2014,2014.aF,109,231.1484614,251.9518229,0.144112896
LIN,aF,2014,2014.aF,94,268.0338541,251.9518229,0.224697779
LIN,aF,2014,2014.aF,114,270.1237867,307.9411169,0.188177692
LIN,aF,2014,2014.aF,116,289.5997964,335.9357638,0.212562107
LIN,aF,2014,2014.aF,112,274.9474258,307.9411169,0.198439728
LIN,aF,2014,2014.aF,107,313.9586578,335.9357638,0.270837303
LIN,aF,2014,2014.aF,110,299.0337292,328.9371021,0.238998403
LIN,aF,2014,2014.aF,112,299.9426463,335.9357638,0.236159677
LIN,aF,2014,2014.aF,112,296.1933632,331.7365668,0.230292585
LIN,aF,2014,2014.aF,118,296.5534638,349.9330873,0.219114605
LIN,aF,2014,2014.aF,140,239.954117,335.9357638,0.120913754
LIN,aF,2014,2014.aF,114,302.1448684,342.9344256,0.236473192
LIN,aF,2014,2014.aF,112,312.4402565,349.9330873,0.256249649
LIN,aF,2014,2014.aF,111,308.949933,342.9344256,0.252813675
LIN,aF,2014,2014.aF,114,313.0980255,356.9317491,0.252815174
LIN,aF,2014,2014.aF,110,369.0203466,405.9223813,0.363961352
LIN,aF,2014,2014.aF,110,318.1209885,349.9330873,0.270482575
LIN,aF,2014,2014.aF,110,318.1209885,349.9330873,0.270482575
LIN,aF,2014,2014.aF,106,303.7155098,321.9384403,0.2558441
LIN,aF,2014,2014.aF,92,258.646195,237.9544994,0.213782273
LIN,aF,2014,2014.aF,88,262.4498155,230.9558376,0.230121503
LIN,aF,2014,2014.aF,84,266.6156856,223.9571759,0.248793733
LIN,aF,2014,2014.aF,70,263.9495287,184.7646701,0.292611286
LIN,aF,2014,2014.aF,79,262.2283389,207.1603877,0.255905422
LIN,aF,2014,2014.aF,68,277.8880399,188.9638672,0.333870562
LIN,aF,2014,2014.aF,103,277.228543,285.5453993,0.219374423
LIN,aF,2014,2014.aF,88,222.6846919,195.9625289,0.165670577
LIN,aF,2014,2014.aF,84,258.2839454,216.9585141,0.233487088
LIN,aF,2014,2014.aF,74,245.8989262,181.9652054,0.240230904
LIN,aF,2014,2014.aF,102,274.4573234,279.9464699,0.217118488
LIN,aF,2014,2014.aF,118,289.4361807,341.5346932,0.208723314
LIN,aF,2014,2014.aF,86,240.8841717,207.1603877,0.198365165
LIN,aF,2014,2014.aF,104,274.5628839,285.5453993,0.213106966
LIN,aF,2014,2014.aF,88,267.2216303,235.1550347,0.238565631
LIN,bE,2014,2014.bE,136,366.4005267,498.3047164,0.290215498
LIN,bE,2014,2014.bE,138,371.2333622,512.3020399,0.293604185
LIN,bE,2014,2014.bE,136,368.4589567,501.1041811,0.293485506
LIN,bE,2014,2014.bE,136,368.4589567,501.1041811,0.293485506
LIN,bE,2014,2014.bE,133,387.2943643,515.1015046,0.331572149
LIN,bE,2014,2014.bE,140,381.2890987,531.8982927,0.30639516
LIN,bE,2014,2014.bE,141,371.2765239,523.4998987,0.287424111
LIN,bE,2014,2014.bE,142,335.1471822,475.9089988,0.232557383
LIN,bE,2014,2014.bE,126,399.9235284,503.9036458,0.3731906
LIN,bE,2014,2014.bE,138,375.2905574,517.9009693,0.300056831
LIN,bE,2014,2014.bE,136,382.8679661,520.700434,0.316888504
LIN,bE,2014,2014.bE,139,382.6606423,531.8982927,0.30971349
LIN,bE,2014,2014.bE,129,390.6229812,503.9036458,0.347754854
LIN,bE,2014,2014.bE,140,369.9292638,517.9009693,0.287380086
LIN,bE,2014,2014.bE,132,360.5371203,475.9089988,0.289516534
LIN,bE,2014,2014.bE,130,387.618189,503.9036458,0.339791315
LIN,bE,2014,2014.bE,122,344.1964793,419.9197048,0.28549621
LIN,bE,2014,2014.bE,122,344.1964793,419.9197048,0.28549621
LIN,bE,2014,2014.bE,125,335.9357638,419.9197048,0.265429874
LIN,bE,2014,2014.bE,130,333.7823295,433.9170283,0.251959455
LIN,bE,2014,2014.bE,119,352.8737015,419.9197048,0.307637275
LIN,bE,2014,2014.bE,101,332.6096672,335.9357638,0.322029525
LIN,bE,2014,2014.bE,127,330.6454369,419.9197048,0.253086323
LIN,bE,2014,2014.bE,146,325.9650677,475.9089988,0.213961974
LIN,bE,2014,2014.bE,129,336.3697894,433.9170283,0.257864517
LIN,bE,2014,2014.bE,128,328.0622694,419.9197048,0.247200833
LIN,bE,2014,2014.bE,126,333.269607,419.9197048,0.259160139
LIN,bE,2014,2014.bE,114,331.5155564,377.9277343,0.283432929
LIN,bE,2014,2014.bE,127,332.8497398,422.7191695,0.256472056
LIN,bE,2014,2014.bE,112,372.4287858,417.1202401,0.364095901
LIN,bE,2014,2014.bE,195,401.9744183,783.8501156,0.243618099
LIN,bE,2014,2014.bE,191,419.1868606,800.6469038,0.270476343
LIN,bE,2014,2014.bE,193,433.6994533,837.0399449,0.286528463
LIN,cT,2014,2014.cT,7,195.9625289,13.71737702,1.612855135
LIN,cT,2014,2014.cT,8,139.9732349,11.19785879,0.720024614
LIN,cT,2014,2014.cT,8,188.9638672,15.11710937,1.312244859
LIN,cT,2014,2014.cT,8,195.9625289,15.67700231,1.411248243
LIN,cT,2014,2014.cT,5,179.1657407,8.958287036,1.887501324
LIN,cT,2014,2014.cT,8,220.457845,17.6366276,1.786111058
LIN,cT,2014,2014.cT,8,213.4591833,17.07673466,1.674507242
LIN,cT,2014,2014.cT,9,174.1889146,15.67700231,0.991164747
LIN,cT,2014,2014.cT,8,146.9718967,11.75775173,0.793827137
LIN,cT,2014,2014.cT,8,104.9799262,8.398394096,0.405013845
LIN,cT,2014,2014.cT,8,181.9652054,14.55721643,1.216841597
LIN,cT,2014,2014.cT,11,152.6980745,16.79678819,0.623191852
LIN,cT,2014,2014.cT,6,163.3021074,9.798126445,1.306711336
LIN,cT,2014,2014.cT,10,153.9705584,15.39705584,0.696983826
LIN,cT,2014,2014.cT,8,104.9799262,8.398394096,0.405013845
LIN,cT,2014,2014.cT,7,79.98470568,5.598929397,0.268697232
LIN,cT,2014,2014.cT,6,209.9598524,12.59759114,2.160073841
LIN,cT,2014,2014.cT,7,199.9617642,13.99732349,1.6793577
LIN,cT,2014,2014.cT,8,139.9732349,11.19785879,0.720024614
LIN,cT,2014,2014.cT,6,186.6309799,11.19785879,1.70672501
LIN,cT,2014,2014.cT,7,139.9732349,9.798126445,0.822885273
LIN,cT,2014,2014.cT,6,163.3021074,9.798126445,1.306711336
LIN,cT,2014,2014.cT,8,80.48461009,6.438768807,0.238058138
LIN,cT,2014,2014.cT,7,139.9732349,9.798126445,0.822885273
LIN,cT,2014,2014.cT,7,79.98470568,5.598929397,0.268697232
LIN,cT,2014,2014.cT,5,106.3796585,5.318982927,0.665417947
LIN,cT,2014,2014.cT,8,227.4565068,18.19652054,1.901314996
LIN,cT,2014,2014.cT,8,157.4698893,12.59759114,0.911281152
LIN,cT,2014,2014.cT,8,227.4565068,18.19652054,1.901314996
LIN,cT,2014,2014.cT,6,102.647039,6.158822337,0.516284316
LIN,cT,2014,2014.cT,8,157.4698893,12.59759114,0.911281152
LIN,cT,2014,2014.cT,4,174.9665437,6.998661747,2.250076918
LIN,cT,2014,2014.cT,6,93.31548996,5.598929397,0.426681253
RA2,aF,2008,2008.aF,66,216.3222722,142.7726996,0.208451904
RA2,aF,2008,2008.aF,74,253.465047,187.5641348,0.255241782
RA2,aF,2008,2008.aF,74,204.2852618,151.1710937,0.165801968
RA2,aF,2008,2008.aF,72,190.5191253,137.1737702,0.148214943
RA2,aF,2008,2008.aF,70,231.9556465,162.3689525,0.225974372
RA2,aF,2008,2008.aF,72,202.1835616,145.5721643,0.166919286
RA2,aF,2008,2008.aF,64,192.463198,123.1764467,0.170162067
RA2,aF,2008,2008.aF,54,181.446786,97.98126445,0.179247097
RA2,aF,2008,2008.aF,70,199.9617642,139.9732349,0.16793577
RA2,aF,2008,2008.aF,54,295.4990515,159.5694878,0.475407198
RA2,aF,2008,2008.aF,68,205.8429925,139.9732349,0.183193724
RA2,aF,2008,2008.aF,83,236.0994324,195.9625289,0.197450903
RA2,aF,2008,2008.aF,68,205.8429925,139.9732349,0.183193724
RA2,aF,2008,2008.aF,80,209.9598524,167.9678819,0.162005538
RA2,aF,2008,2008.aF,67,204.7369705,137.1737702,0.183935295
RA2,aF,2008,2008.aF,72,229.4005795,165.1684172,0.214883889
RA2,aF,2008,2008.aF,58,241.3331637,139.9732349,0.295225148
RA2,aF,2008,2008.aF,73,214.7534563,156.7700231,0.185739724
RA2,aF,2008,2008.aF,90,233.2887249,209.9598524,0.177783855
RA2,aF,2008,2008.aF,71,189.2595853,134.3743055,0.148321719
RA2,aF,2008,2008.aF,91,246.1067867,223.9571759,0.195683009
RA2,aF,2008,2008.aF,70,239.954117,167.9678819,0.241827509
RA2,aF,2008,2008.aF,85,230.5441517,195.9625289,0.183838566
RA2,aF,2008,2008.aF,69,194.7453703,134.3743055,0.161596713
RA2,aF,2008,2008.aF,82,221.9087871,181.9652054,0.176555999
RA2,aF,2008,2008.aF,58,241.3331637,139.9732349,0.295225148
RA2,aF,2008,2008.aF,75,190.3635995,142.7726996,0.142054136
RA2,aF,2008,2008.aF,58,226.8531739,131.5748408,0.260860941
RA2,aF,2008,2008.aF,74,215.634443,159.5694878,0.184736144
RA2,aF,2008,2008.aF,65,215.3434384,139.9732349,0.209747725
RA2,aF,2008,2008.aF,80,209.9598524,167.9678819,0.162005538
RA2,aF,2008,2008.aF,80,227.4565068,181.9652054,0.1901315
RA2,aF,2008,2008.aF,66,186.6309799,123.1764467,0.155156819
RA2,bE,2008,2008.bE,40,314.9397786,125.9759114,0.729024921
RA2,bE,2008,2008.bE,27,331.7884087,89.58287036,1.198687525
RA2,bE,2008,2008.bE,57,294.6804946,167.9678819,0.447894011
RA2,bE,2008,2008.bE,61,307.4821882,187.5641348,0.455677329
RA2,bE,2008,2008.bE,72,291.6109061,209.9598524,0.347234092
RA2,bE,2008,2008.bE,80,321.9384403,257.5507523,0.380893021
RA2,bE,2008,2008.bE,86,286.4568529,246.3528935,0.280522249
RA2,bE,2008,2008.bE,25,279.9464699,69.98661747,0.921631506
RA2,bE,2008,2008.bE,24,291.6109061,69.98661747,1.041702277
RA2,bE,2008,2008.bE,16,279.9464699,44.79143518,1.440049228
RA2,bE,2008,2008.bE,18,326.6042148,58.78875867,1.742281782
RA2,bE,2008,2008.bE,42,286.611862,120.376982,0.575024516
RA2,bE,2008,2008.bE,51,290.9247628,148.371629,0.487908666
RA2,bE,2008,2008.bE,30,317.2726658,95.18179975,0.986487056
RA2,bE,2008,2008.bE,27,321.420021,86.78340566,1.124940148
RA2,bE,2008,2008.bE,41,368.7099847,151.1710937,0.974839842
RA2,bE,2008,2008.bE,37,310.2109531,114.7780526,0.764645017
RA2,bE,2008,2008.bE,33,305.3961489,100.7807292,0.830922469
RA2,bE,2008,2008.bE,29,289.5997964,83.98394096,0.850248427
RA2,bE,2008,2008.bE,15,335.9357638,50.39036458,2.211915614
RA2,bE,2008,2008.bE,14,299.9426463,41.99197048,1.889277412
RA2,bE,2008,2008.bE,11,279.9464699,30.79411169,2.094617058
RA2,bE,2008,2008.bE,52,123.8224771,64.38768807,0.086684802
RA2,bE,2008,2008.bE,13,258.412126,33.59357638,1.510183623
RA2,bE,2008,2008.bE,10,279.9464699,27.99464699,2.304078764
RA2,bE,2008,2008.bE,13,516.8242521,67.18715277,6.040734493
RA2,bE,2008,2008.bE,22,381.7451862,83.98394096,1.947474538
RA2,bE,2008,2008.bE,14,319.9388227,44.79143518,2.149577856
RA2,bE,2008,2008.bE,15,298.6095679,44.79143518,1.747686411
RA2,bE,2008,2008.bE,22,381.7451862,83.98394096,1.947474538
RA2,bE,2008,2008.bE,12,256.6175974,30.79411169,1.613388486
RA2,bE,2008,2008.bE,35,247.9525876,86.78340566,0.51643608
RA2,bE,2008,2008.bE,22,407.1948653,89.58287036,2.215793252
RA2,cT,2008,2008.cT,6,233.2887249,13.99732349,2.666757829
RA2,cT,2008,2008.cT,10,307.9411169,30.79411169,2.787935305
RA2,cT,2008,2008.cT,10,251.9518229,25.19518229,1.866303799
RA2,cT,2008,2008.cT,6,186.6309799,11.19785879,1.70672501
RA2,cT,2008,2008.cT,8,349.9330873,27.99464699,4.500153836
RA2,cT,2008,2008.cT,4,349.9330873,13.99732349,9.000307672
RA2,cT,2008,2008.cT,5,279.9464699,13.99732349,4.608157528
RA2,cT,2008,2008.cT,3,233.2887249,6.998661747,5.333515658
RA2,cT,2008,2008.cT,7,319.9388227,22.39571759,4.299155712
RA2,cT,2008,2008.cT,10,279.9464699,27.99464699,2.304078764
RA2,cT,2008,2008.cT,5,391.9250578,19.59625289,9.031988755
RA2,cT,2008,2008.cT,12,326.6042148,39.19250578,2.613422672
RA2,cT,2008,2008.cT,5,391.9250578,19.59625289,9.031988755
RA2,cT,2008,2008.cT,13,292.8670762,38.0727199,1.939746965
RA2,cT,2008,2008.cT,9,373.2619598,33.59357638,4.551266695
RA2,cT,2008,2008.cT,6,279.9464699,16.79678819,3.840131274
RA2,cT,2008,2008.cT,14,279.9464699,39.19250578,1.645770546
RA2,cT,2008,2008.cT,11,310.4860848,34.15346932,2.576552091
RA2,cT,2008,2008.cT,12,326.6042148,39.19250578,2.613422672
RA2,cT,2008,2008.cT,9,242.6202739,21.83582465,1.922910178
RA2,cT,2008,2008.cT,12,303.2753424,36.39304108,2.253410365
RA2,cT,2008,2008.cT,6,233.2887249,13.99732349,2.666757829
RA2,cT,2008,2008.cT,5,235.1550347,11.75775173,3.251515952
RA2,cT,2008,2008.cT,10,279.9464699,27.99464699,2.304078764
RA2,cT,2008,2008.cT,9,311.0516332,27.99464699,3.160601871
RA2,cT,2008,2008.cT,7,295.943411,20.71603877,3.678465106
RA2,cT,2008,2008.cT,8,251.9518229,20.15614583,2.332879749
RA2,cT,2008,2008.cT,10,335.9357638,33.59357638,3.31787342
RA2,cT,2008,2008.cT,10,223.9571759,22.39571759,1.474610409
RA2,cT,2008,2008.cT,6,279.9464699,16.79678819,3.840131274
RA2,aF,2009,2009.aF,106,277.3054654,293.9437934,0.213284023
RA2,aF,2009,2009.aF,106,277.3054654,293.9437934,0.213284023
RA2,aF,2009,2009.aF,106,277.3054654,293.9437934,0.213284023
RA2,aF,2009,2009.aF,111,252.2040269,279.9464699,0.168472253
RA2,aF,2009,2009.aF,117,251.2340114,293.9437934,0.158605533
RA2,aF,2009,2009.aF,102,274.4573234,279.9464699,0.217118488
RA2,aF,2009,2009.aF,105,253.2849013,265.9491464,0.179629075
RA2,aF,2009,2009.aF,104,275.9087804,286.9451316,0.215201371
RA2,aF,2009,2009.aF,101,270.2453546,272.9478081,0.212589804
RA2,aF,2009,2009.aF,104,269.1792979,279.9464699,0.204831763
RA2,aF,2009,2009.aF,103,278.5875064,286.9451316,0.221530424
RA2,aF,2009,2009.aF,103,244.6134203,251.9518229,0.170793236
RA2,aF,2009,2009.aF,102,281.3187565,286.9451316,0.228110111
RA2,aF,2009,2009.aF,97,274.1743777,265.9491464,0.227839663
RA2,aF,2009,2009.aF,100,279.9464699,279.9464699,0.230407876
RA2,aF,2009,2009.aF,101,277.1747226,279.9464699,0.223631615
RA2,aF,2009,2009.aF,96,284.3206335,272.9478081,0.247567057
RA2,aF,2009,2009.aF,93,255.8650531,237.9544994,0.206959958
RA2,aF,2009,2009.aF,91,261.4884609,237.9544994,0.220907772
RA2,aF,2009,2009.aF,90,248.8413065,223.9571759,0.20227852
RA2,aF,2009,2009.aF,99,282.774212,279.9464699,0.237460697
RA2,aF,2009,2009.aF,96,291.6109061,279.9464699,0.260425569
RA2,aF,2009,2009.aF,95,265.2124451,251.9518229,0.217676489
RA2,aF,2009,2009.aF,90,248.8413065,223.9571759,0.20227852
RA2,aF,2009,2009.aF,90,287.7227607,258.9504846,0.270428998
RA2,aF,2009,2009.aF,97,274.1743777,265.9491464,0.227839663
RA2,aF,2009,2009.aF,92,289.0751591,265.9491464,0.267042909
RA2,aF,2009,2009.aF,94,297.8153935,279.9464699,0.277404665
RA2,aF,2009,2009.aF,95,265.2124451,251.9518229,0.217676489
RA2,aF,2009,2009.aF,90,264.3938882,237.9544994,0.228353485
RA2,aF,2009,2009.aF,92,289.0751591,265.9491464,0.267042909
RA2,aF,2009,2009.aF,93,255.8650531,237.9544994,0.206959958
RA2,aF,2009,2009.aF,95,279.9464699,265.9491464,0.242534607
RA2,bE,2009,2009.bE,62,237.0514463,146.9718967,0.266465421
RA2,bE,2009,2009.bE,64,240.5789975,153.9705584,0.26587823
RA2,bE,2009,2009.bE,64,279.9464699,179.1657407,0.360012307
RA2,bE,2009,2009.bE,64,288.6947971,184.7646701,0.382864651
RA2,bE,2009,2009.bE,60,275.2806954,165.1684172,0.37131936
RA2,bE,2009,2009.bE,64,284.3206335,181.9652054,0.371350585
RA2,bE,2009,2009.bE,66,254.4967908,167.9678819,0.288514746
RA2,bE,2009,2009.bE,58,289.5997964,167.9678819,0.425124213
RA2,bE,2009,2009.bE,53,279.9464699,148.371629,0.434731842
RA2,bE,2009,2009.bE,48,285.778688,137.1737702,0.500225433
RA2,bE,2009,2009.bE,52,274.5628839,142.7726996,0.426213933
RA2,bE,2009,2009.bE,54,290.3148576,156.7700231,0.458872568
RA2,bE,2009,2009.bE,61,254.7053947,155.3702908,0.312675449
RA2,bE,2009,2009.bE,55,269.7665982,148.371629,0.389010203
RA2,bE,2009,2009.bE,50,285.5453993,142.7726996,0.479432709
RA2,bE,2009,2009.bE,40,223.9571759,89.58287036,0.368652602
RA2,bE,2009,2009.bE,37,257.2481074,95.18179975,0.525835597
RA2,bE,2009,2009.bE,46,261.6890914,120.376982,0.437684067
RA2,bE,2009,2009.bE,64,271.1981427,173.5668113,0.337863112
RA2,bE,2009,2009.bE,70,259.9502934,181.9652054,0.283811451
RA2,bE,2009,2009.bE,75,276.2138503,207.1603877,0.299072837
RA2,bE,2009,2009.bE,80,288.6947971,230.9558376,0.30629172
RA2,bE,2009,2009.bE,75,302.3421875,226.7566406,0.358330329
RA2,bE,2009,2009.bE,82,273.1185072,223.9571759,0.267445773
RA2,bE,2009,2009.bE,83,276.5736208,229.5561053,0.270950994
RA2,bE,2009,2009.bE,77,247.2254539,190.3635995,0.233368896
RA2,bE,2009,2009.bE,68,247.0115911,167.9678819,0.263798963
RA2,bE,2009,2009.bE,79,279.9464699,221.1577112,0.29165554
RA2,bE,2009,2009.bE,78,276.3574126,215.5587818,0.287869043
RA2,bE,2009,2009.bE,76,287.3134822,218.3582465,0.319334433
RA2,bE,2009,2009.bE,75,250.0855131,187.5641348,0.245167634
RA2,bE,2009,2009.bE,74,283.7295303,209.9598524,0.319834044
RA2,bE,2009,2009.bE,79,290.5773485,229.5561053,0.314227183
RA2,bE,2009,2009.bE,73,272.2767036,198.7619936,0.298569498
RA2,cT,2009,2009.cT,13,163.6610132,21.27593171,0.605751431
RA2,cT,2009,2009.cT,12,191.2967544,22.95561053,0.896563982
RA2,cT,2009,2009.cT,17,283.2399577,48.15079282,1.387418403
RA2,cT,2009,2009.cT,17,154.7939304,26.31496817,0.414387135
RA2,cT,2009,2009.cT,14,259.9502934,36.39304108,1.419057256
RA2,cT,2009,2009.cT,21,223.9571759,47.03100694,0.702195433
RA2,cT,2009,2009.cT,20,226.7566406,45.35132812,0.755853039
RA2,cT,2009,2009.cT,21,246.6195092,51.79009693,0.851496552
RA2,cT,2009,2009.cT,18,211.5151106,38.0727199,0.730731153
RA2,cT,2009,2009.cT,19,197.4359314,37.51282696,0.603178864
RA2,cT,2009,2009.cT,17,161.3809062,27.43475405,0.450404487
RA2,cT,2009,2009.cT,22,155.2430424,34.15346932,0.322069011
RA2,cT,2009,2009.cT,19,173.8614918,33.03368344,0.467735715
RA2,cT,2009,2009.cT,23,163.0992477,37.51282696,0.340034834
RA2,cT,2009,2009.cT,11,173.0578177,19.03635995,0.800455312
RA2,cT,2009,2009.cT,14,139.9732349,19.59625289,0.411442636
RA2,cT,2009,2009.cT,18,161.7468493,29.11443287,0.427313373
RA2,cT,2009,2009.cT,18,177.2994309,31.91389756,0.513439774
RA2,cT,2009,2009.cT,12,228.6229504,27.43475405,1.280577109
RA2,cT,2009,2009.cT,17,141.6199789,24.07539641,0.346854601
RA2,cT,2009,2009.cT,18,192.8520126,34.71336226,0.60746768
RA2,cT,2009,2009.cT,12,256.6175974,30.79411169,1.613388486
RA2,cT,2009,2009.cT,13,241.184651,31.35400463,1.315537734
