site,sow.year,species,plot,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
nalp,2016,fir,1707,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1708,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1709,yes,2,seeded,1,0,19,1,1,0,,0,,0.052631579,0.95,0.07751938,1,0,NA,0,0,20,0.645
nalp,2016,fir,1710,yes,4,seeded.scarified,1,1,16,4,4,3,,3,,0.25,0.8,0.310077519,1,0.75,NA,0.75,0.75,20,0.645
nalp,2016,fir,1711,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1712,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1713,yes,2,seeded,1,0,16,4,3,1,,1,,0.25,0.8,0.310077519,0.75,0.25,NA,0.25,0.25,20,0.645
nalp,2016,fir,1714,yes,4,seeded.scarified,1,1,11,9,9,3,,2,,0.818181818,0.55,0.697674419,1,0.333333333,NA,0.222222222,0.111111111,20,0.645
nalp,2016,fir,1715,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1716,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1717,yes,2,seeded,1,0,18,2,2,2,,1,,0.111111111,0.9,0.15503876,1,1,NA,0.5,0,20,0.645
nalp,2016,fir,1718,yes,4,seeded.scarified,1,1,17,3,2,0,,0,,0.176470588,0.85,0.23255814,0.666666667,0,NA,0,0,20,0.645
nalp,2016,fir,1719,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1720,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,401,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,402,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,403,yes,4,seeded.scarified,1,1,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,404,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,405,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,406,yes,4,seeded.scarified,1,1,19,1,1,1,,1,,0.052631579,0.95,0.07751938,1,1,NA,1,1,20,0.645
